	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0
25	0	0	0	0	0	0	0	0	0	2	0	4	2	0	0	5	1	3	6	18	76	95	10	37	392	944	968	209	189	179	90	73	44	193
26	0	0	0	0	0	0	0	0	0	2	3	3	3	0	4	5	6	4	10	51	386	112	37	498	1522	1390	488	165	213	190	268	138	78	416
27	0	0	0	0	0	0	1	3	2	4	6	8	3	13	10	3	10	9	16	138	621	544	963	1784	2298	696	391	296	253	477	433	209	199	728
28	0	0	0	0	0	14	9	9	21	17	24	22	36	38	34	41	15	20	59	329	3297	9823	4757	3116	2661	802	868	1663	882	1140	1979	694	376	4882
29	0	0	0	0	144	73	59	304	200	190	235	258	199	303	257	274	226	259	266	2139	137092	122460	11761	18486	19123	2241	16955	20808	2562	21380	22912	2104	7141	59063
30	0	0	0	314	252	165	577	361	322	335	628	345	474	579	489	553	431	443	1289	46160	242651	163751	12410	34806	22766	7073	35533	26138	12258	47315	24662	14043	17712	59470
31	0	0	0	169	159	434	300	252	286	359	238	337	449	389	354	392	272	378	6485	69052	197757	60954	10030	27815	8144	9073	27637	9416	17662	29273	7470	22270	13036	25057
32	0	0	0	50	177	63	77	105	87	71	108	99	99	93	102	66	90	256	5894	43983	31906	2230	6174	4644	1003	5271	3709	801	9790	4809	294	13373	2743	2206
33	0	0	0	20	11	6	8	9	6	10	8	4	13	12	2	5	33	145	1402	4940	329	205	530	70	248	457	38	148	730	35	43	1045	11	434
