	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0
25	0	0	0	0	0	0	0	0	1	1	1	1	2	1	7	4	3	3	4	24	95	125	16	42	386	655	736	219	173	125	130	81	63	224
26	0	0	0	0	0	0	0	1	1	1	11	8	1	9	3	0	5	3	13	87	590	265	81	611	1425	1320	591	211	272	291	319	159	84	544
27	0	0	0	0	0	0	12	13	8	19	14	11	14	29	9	10	16	31	41	291	1366	1576	1521	2136	2859	1153	749	603	473	807	750	458	312	1500
28	0	0	0	0	0	38	41	22	53	61	48	83	87	80	74	74	91	58	195	841	6250	29407	5809	3821	7299	1502	1554	5832	1584	2178	6130	1500	690	17482
29	0	0	0	0	236	146	96	327	270	260	345	383	268	374	330	431	328	406	496	3132	116576	114930	11138	23788	24719	3173	20207	25039	3603	24679	25538	3298	8871	66450
30	0	0	0	383	298	202	570	421	429	439	739	385	530	653	566	675	577	540	1352	41885	188728	137371	13227	39401	28002	7974	37140	30723	13473	47771	27292	16872	18214	68837
31	0	0	0	197	205	487	289	321	346	478	314	398	486	416	391	489	333	450	5738	55413	165141	53774	11004	33476	10626	9589	31764	11991	18406	33051	8614	23977	14795	31205
32	0	0	0	48	181	82	91	106	110	72	91	119	113	107	134	89	121	255	4600	32957	27248	2068	6421	5753	1078	5227	4663	931	9628	5413	374	14187	3361	2611
33	0	0	0	21	8	9	11	9	2	14	7	8	9	6	10	7	17	73	968	3145	228	193	525	53	230	425	33	147	607	30	30	1240	16	426
