	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0
25	0	0	0	0	0	0	0	0	19	17	31	13	22	44	10	21	19	15	14	21	8	16	46	4	4	9	5	17	2	1	0	0	0	0
26	0	0	0	0	0	0	0	56	33	112	51	91	92	28	34	74	34	43	77	47	28	70	49	2	24	22	10	6	0	0	1	0	1	0
27	0	0	0	0	0	0	178	111	124	162	93	129	93	70	135	207	99	133	131	80	113	123	29	12	71	26	4	3	1	0	3	2	3	1
28	0	0	0	0	0	273	2817	365	244	2581	377	158	1541	306	305	3444	275	250	1859	379	185	211	159	78	67	17	21	20	15	6	8	16	8	8
29	0	0	0	0	837	5451	7791	701	5717	10348	498	4484	7685	961	7103	7352	686	4806	8902	695	449	3654	645	151	73	110	97	89	70	65	79	130	59	53
30	0	0	0	8619	3552	9204	8220	3981	11430	5685	1791	9782	10598	3763	8997	8120	2362	11583	7584	602	5150	7616	673	160	143	162	168	160	128	98	183	159	87	105
31	0	0	7608	3325	4433	6981	3864	4969	4812	2496	3496	9831	3973	3690	7338	3340	4149	7836	2301	2135	8799	5676	324	67	91	148	103	99	91	92	124	147	46	84
32	0	1645	1192	381	2454	1620	260	1364	870	258	2462	1390	287	2292	1760	318	2187	1126	211	2443	4174	566	24	35	36	43	28	24	28	36	37	36	15	21
33	28	142	10	58	280	27	20	99	14	53	201	15	37	344	19	48	241	32	64	508	163	5	3	3	2	3	0	0	3	5	3	2	0	0
