Gene	m_GR_in_01d_1	m_GR_in_01d_2	m_GR_in_02d_1	m_GR_in_02d_2	m_GR_in_04d_1	m_GR_in_04d_3	m_GR_in_07d_1	m_GR_in_07d_3	m_GR_in_10d_1	m_GR_in_10d_2	m_GR_in_15d_2	m_GR_in_15d_3	m_GR_in_20d_1	m_GR_in_20d_2	m_GR_in_25d_1	m_GR_in_25d_2	m_GR_un_01d_1	m_GR_un_01d_2	m_GR_un_02d_1	m_GR_un_02d_2	m_GR_un_04d_2	m_GR_un_04d_3	m_GR_un_07d_1	m_GR_un_07d_2	m_GR_un_10d_1	m_GR_un_10d_2	m_GR_un_15d_1	m_GR_un_15d_2	m_GR_un_20d_2	m_GR_un_20d_3	m_GR_un_25d_1	m_GR_un_25d_2
GlmaCp005	509.786845375277	328.460178682337	202.28780987556	201.44991955	194.915243511158	138.101097468271	734.274800785886	710.602995669801	941.626097219149	805.923071400616	1170.16203331882	1083.49345049422	725.950899001422	622.11548199482	669.028735242417	565.43329998256	653.342396929731	455.997651612094	210.23875810268	204.632618439379	181.091054608451	167.741127871315	482.922227117826	551.267916207277	223.740970646698	174.850896963778	485.616713592163	552.49055887255	472.900731968089	306.83169287284	370.206718654836	477.640262149771
GlmaCp009	345.926787933224	304.572165687258	331.490991667047	267.733441466451	378.439336427507	308.55019974893	447.546100988341	502.385422832994	577.423102456296	563.914562890948	798.14039114705	1010.06392448181	432.406588751452	375.311802407272	307.936513755414	356.149546092911	390.537252996199	373.348077257402	242.884527994401	208.593249764012	272.2697674183	317.957063278463	444.33823474501	488.48113759597	310.210910993248	331.577005827652	596.87660754185	573.58805038081	434.716200815387	335.24203480551	242.099994897444	333.59002435857
GlmaCp013	312.547887343176	253.810138072715	50.8982231299797	90.9773830225806	116.442872746925	146.810175686991	102.225014710429	165.847717899085	269.694622704138	277.904507379523	141.484740870697	121.566659731656	355.065572877209	308.07907589894	477.484891864794	423.157063785649	415.496400744076	371.923084596114	61.3740473964346	68.6509429603079	145.632666293509	108.906553170182	141.889520338743	95.4359034891869	226.983593409693	167.387748922641	77.227455800371	113.399016856896	221.76400784839	234.38532094453	255.12779731345	251.275602763598
GlmaCp018	7.58611377046544	0	0	5.19870760129032	2.5313667988462	6.22077015622842	3.73993956257667	3.63170185180477	16.1355757173416	2.31587089482936	0	1.63176724472021	19.3352539685609	7.65942453892392	12.8306880731423	10.0970232139743	13.2136664547586	5.69997064515118	0	1.32021044154438	6.33185505623954	2.50359892345246	2.48928983050426	2.51147114445229	6.48524552599124	3.19849201763009	0	2.63718643853246	0	11.3641367730681	3.25695060400149	6.4985069680241
GlmaCp026	1837.35675520673	1851.32100711863	1586.98049553988	1731.16963122968	1740.31467420676	1627.35347286936	1675.49292403435	1858.22078084011	3161.42029947628	3389.27705458276	5680.19621436769	5628.78111066237	2713.96655704164	2800.79623973318	2623.87571095759	2956.59197929192	2234.57781601584	1943.68998999655	1591.80773992029	1593.49400294407	1642.48320158854	1867.68479689554	1804.73512711559	1793.19039713893	1601.85564491984	1833.80209010792	3066.8462532249	3119.7915567839	2000.2819780762	2108.04737140414	1722.92686951679	2108.76551112382
GlmaCp029	443.029044195182	325.474177057952	144.864173523788	141.664782135161	353.125668439045	261.272346561594	224.3963737546	254.219129626334	458.711366821568	390.224245778746	260.498375838401	236.606250484431	370.885326124213	293.611273992084	308.852991474924	276.291271582387	549.101250453302	501.597416773304	96.6314788794927	125.419991946716	216.549442923392	241.597296113163	294.980844914754	323.979777634345	377.225114761824	285.731953574955	158.381731387201	125.266355830292	234.981730170479	208.816013205127	282.269052346796	295.682067045096
GlmaCp047	2815.96543159677	2896.42157565334	1918.47148720693	1792.25444554484	2278.23011896158	2270.58110702337	2467.11346477974	2602.71966046009	2995.4543778122	3111.37254720324	6903.62309130843	6691.06158697523	2294.74309599602	2113.15012557201	4669.45398090427	4845.65323150638	3884.81793769903	3573.88159450979	1798.12900563597	1701.75125915071	2363.04830698859	2375.91537835639	2571.4363949109	2516.49408674119	2273.07855685993	2267.73084049973	2996.16349706863	2949.69303149855	2696.41535370625	2735.91592811615	2447.05555380645	2482.4296617852
GlmaCp055	19.7238958032101	11.9440064975395	0	1.29967690032258	1.2656833994231	3.73246209373705	2.49329304171778	0	18.4406579626761	3.47380634224403	0	3.26353448944043	63.2790129880174	20.4251321037971	5.49886631706097	5.50746720762233	17.6182219396781	14.2499266128779	0	1.32021044154438	1.26637101124791	3.75539838517869	2.48928983050426	2.51147114445229	6.48524552599124	3.19849201763009	0	0	0	7.10258548316758	3.25695060400149	6.4985069680241
GlmaCp058	1115.15872425842	989.859538483589	681.253140355113	651.138127061613	920.151831380595	637.00686399779	988.590691041099	1015.6659512214	1779.52349339824	1623.42549727538	2941.21808374731	2688.33653567655	1839.48575255445	1615.28753054196	1141.01476079015	1206.13531846929	1443.22601389197	1315.26822636863	514.497333493515	517.522493085398	711.700508321324	832.446642047944	1056.70353304906	964.404919469678	938.198852760066	754.844116160701	1005.26586533364	1132.67157534969	991.329174156709	965.951625710791	779.49684455769	922.787989459422
GlmaCp063	9311.19604186928	10830.227891644	5102.87313944156	9106.83604056032	1665.6393536408	3075.54876523933	8664.19331996928	11110.5865319547	6214.50173342185	11656.9361491236	17222.0220166902	16754.1701851648	13819.4333364387	4242.47014739286	5950.68983277948	8836.73113463004	4993.29773473711	8411.73167958185	7221.24430004858	7442.02625898568	9088.74474772623	4675.47098954747	6102.49401948118	3999.51779754026	2203.90260458269	2260.2676924586	3307.69120012775	1385.84147344881	1978.25244087272	119.323436117215	75.9955140933681	6928.49151240836
