name	SRR1944912_sum	SRR1944913_sum	SRR1944914_sum	SRR1944915_sum	SRR1944916_sum	SRR1944917_sum	SRR1944912_mean	SRR1944913_mean	SRR1944914_mean	SRR1944915_mean	SRR1944916_mean	SRR1944917_mean	SRR1944912_CoV	SRR1944913_CoV	SRR1944914_CoV	SRR1944915_CoV	SRR1944916_CoV	SRR1944917_CoV
CCW22	1077	1350	790	1462	1605	905	9.205128205128204	11.538461538461538	6.752136752136752	12.495726495726496	13.717948717948717	7.735042735042735	1.7498600774636828	1.610426991758844	1.8016148434304642	1.5326579108497371	1.65443483939654	1.7280381203195283
FLO8	50	65	22	86	100	39	0.0641025641025641	0.08333333333333333	0.028205128205128206	0.11025641025641025	0.1282051282051282	0.05	5.82988626068985	4.894260608742666	6.646849535549624	4.912330531586763	4.393717068619206	5.506443885292414
NM_001178148.1	205	308	135	327	277	168	0.1796669588080631	0.26993865030674846	0.11831726555652936	0.28659070990359337	0.2427695004382121	0.147239263803681	3.119772419803348	2.355409865158051	3.3865479688160067	2.166000601557679	2.3585533548644815	2.7673094044858724
NM_001178149.1	76	121	77	119	86	54	0.06055776892430279	0.09641434262948208	0.06135458167330677	0.09482071713147411	0.06852589641434263	0.04302788844621514	5.345337082965909	3.8561267195272166	4.373102512402049	3.5202344444413627	4.123141477888365	4.808318954919466
NM_001178150.1	18163	22382	9584	19962	17204	9778	97.1283422459893	119.68983957219251	51.25133689839572	106.74866310160428	92.0	52.288770053475936	0.9263589709442827	0.8190670849629619	1.0269744286093767	0.8029367255183786	0.8799584880362903	0.9204311307162752
NM_001178151.1	66865	84519	47903	96234	85555	49580	107.3274478330658	135.6645264847512	76.8908507223114	154.46869983948636	137.3274478330658	79.58266452648475	1.104001208846809	0.9713008699305727	1.084579724424299	0.977261921802131	1.002794695023456	1.033704984470051
NM_001178152.1	690	876	469	772	710	359	3.520408163265306	4.469387755102041	2.392857142857143	3.938775510204082	3.622448979591837	1.8316326530612246	1.2059999686418283	0.9138279352087105	1.030099749704996	1.1144418088617387	0.953844578671941	1.2507667663491255
NM_001178153.1	182	216	138	284	247	146	1.0167597765363128	1.2067039106145252	0.770949720670391	1.5865921787709498	1.3798882681564246	0.8156424581005587	1.4761027844420667	1.262842754520346	1.6658986640561075	1.214952650685563	1.341747044026877	1.4843649721486745
NM_001178154.1	64	67	37	87	78	50	0.26666666666666666	0.2791666666666667	0.15416666666666667	0.3625	0.325	0.20833333333333334	2.859140813683127	2.2260173051057977	2.885506175755121	1.7796013402594928	1.8739459417463087	2.5899710019216395
NM_001178155.2	76	93	34	93	92	46	0.16033755274261605	0.1962025316455696	0.07172995780590717	0.1962025316455696	0.1940928270042194	0.0970464135021097	3.866769221522988	2.659155771966666	4.230762820793592	2.488451568004886	2.553038262973143	3.3346466011581186
NM_001178156.1	57	87	63	102	78	50	0.09405940594059406	0.14356435643564355	0.10396039603960396	0.16831683168316833	0.12871287128712872	0.08250825082508251	3.85728676699196	3.7623588857754613	3.719288450223205	2.886735826181708	3.0617713399403454	3.9992991121482464
NM_001178157.1	7040	8207	4271	7193	6900	4491	18.773333333333333	21.88533333333333	11.389333333333333	19.181333333333335	18.4	11.976	1.0300389056694008	0.8915481102415265	0.9984015751196049	0.9472366951421711	0.88315496842868	0.9148305960605942
NM_001178158.2	168	234	90	262	170	126	0.43523316062176165	0.6062176165803109	0.23316062176165803	0.6787564766839378	0.44041450777202074	0.32642487046632124	2.4698438896850443	1.791589003792194	2.5398397498239835	1.995303617166583	2.1990723707465567	2.1795127151374327
NM_001178159.1	110	172	87	185	153	68	0.4661016949152542	0.7288135593220338	0.3686440677966102	0.7838983050847458	0.6483050847457628	0.288135593220339	2.386324085515483	1.4670274913668093	2.5577441936577237	1.5253246527042073	1.6093289520373735	1.9528793512236846
NM_001178160.1	69	75	49	82	92	42	0.18157894736842106	0.19736842105263158	0.12894736842105264	0.21578947368421053	0.24210526315789474	0.11052631578947368	3.8629635664049387	2.7320480921958437	3.252901022851528	2.5449734334452385	2.3020403987671463	3.0601928391649937
NM_001178161.1	1699	2205	1050	2570	2213	1107	2.758116883116883	3.5795454545454546	1.7045454545454546	4.172077922077922	3.5925324675324677	1.797077922077922	1.2512739028304298	1.0457801213083644	1.2178545264917622	0.8969246987427141	0.9965519565968157	1.1969750845033322
NM_001178162.2	322	374	197	423	336	198	0.24083769633507854	0.27973074046372476	0.14734480179506357	0.3163799551234106	0.2513089005235602	0.1480927449513837	2.9763009569280037	2.4691986533968913	3.0167669879468004	2.2032686726789987	2.4526336629354586	2.877914360125015
NM_001178164.1	621	843	399	905	747	439	0.5584532374100719	0.7580935251798561	0.35881294964028776	0.8138489208633094	0.6717625899280576	0.3947841726618705	2.0794148070953136	1.7961645259079706	2.4688327598578286	1.5334894945768731	1.622114034731012	1.9130291078834107
NM_001178165.2	80	95	54	95	107	69	0.25477707006369427	0.30254777070063693	0.17197452229299362	0.30254777070063693	0.34076433121019106	0.2197452229299363	2.7317605997672816	2.5221861039585836	2.952816611593608	2.3650682693946985	2.203906009260004	2.2102790875141527
