Gene	wt_te_YPD1	ncs2d_elp6d_te_YPD1	ncs2d_elp6d_te_YPD2	ncs2d_elp6d_te_YPD3	wt_te_YPD2	wt_te_YPD3	ncs2d_te_YPD1	ncs2d_te_YPD2	ncs2d_te_YPD3	elp6d_te_YPD1	elp6d_te_YPD2	elp6d_te_YPD3
NM_001178148.1	0.502903600464576	0.456830601092896	0.615503875968992	0.517937219730942	0.54726368159204	0.573062261753494	0.571428571428571	0.506681514476615	0.56440281030445	0.647831800262812	0.542893725992318	0.548427672955975
NM_001178149.1	0.214111922141119	0.233548387096774	0.155885471898197	0.227959697732997	0.229291716686675	0.265228426395939	0.207087486157254	0.21919770773639	0.277860326894502	0.242990654205607	0.232858990944373	0.231552162849873
NM_001178150.1	1.4708830199722	1.64075656654518	1.60540472122018	1.50961756053406	1.22048589143363	1.38788665368808	1.74611840128218	1.72869474234894	1.4220504986971	1.51430652377484	1.51993259255358	1.60339655506096
NM_001178151.1	10.9021406727829	9.50006255473539	7.61406633610937	8.01697758349006	7.53296967752286	7.5866793339667	8.14680829742459	10.6268930390492	8.85056167025984	8.60512286292052	7.91091753774681	10.5543175487465
NM_001178152.1	0.79923622476814	0.877551020408163	0.92135761589404	0.804438280166435	0.80292733925771	0.892711370262391	0.87517146776406	0.88	0.684122562674095	0.818642993024731	0.869375	0.801762114537445
NM_001178153.1	1.04571428571429	1.17494089834515	1.30024813895782	1.23543689320388	0.908616187989556	1.35335689045936	1.38317757009346	1.17241379310345	1.07363420427553	1.28013029315961	1.20771513353116	1.14603174603175
NM_001178154.1	0.273333333333333	0.383177570093458	0.339955849889625	0.353080568720379	0.290076335877863	0.237163814180929	0.311750599520384	0.276231263383298	0.346698113207547	0.391625615763547	0.28099173553719	0.361305361305361
NM_001178155.2	0.416438356164384	0.398963730569948	0.631578947368421	0.462809917355372	0.454268292682927	0.384839650145773	0.440922190201729	0.472527472527473	0.358669833729216	0.573717948717949	0.510971786833856	0.435820895522388
NM_001178156.1	0.420765027322404	0.307692307692308	0.404494382022472	0.31404958677686	0.362768496420048	0.418224299065421	0.504672897196262	0.345177664974619	0.357308584686775	0.355614973262032	0.401197604790419	0.454828660436137
NM_001178157.1	1.94748003992016	1.87851257130784	1.26322522386937	1.65658450358441	1.50098374236305	1.66858513189448	1.44002274019329	1.90853232788717	1.79112020214174	1.52988254859162	1.71408632166631	1.73784596247538
