Gene	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
NM_001178148.1	25.017200047238	26.8881073412355	28.1004570779226	31.0102860472771	28.9277953961827	31.1102077819797	32.5461134857231	27.8722904797525	27.0657364661385	28.8557474263331	27.6714984681003	32.1961069052914
NM_001178149.1	10.1686540607711	11.6718829594909	13.0221630361105	12.0810906059184	9.7273685617933	12.0697279154153	13.7314231339359	11.8325761470647	11.2980826532964	12.4949528329337	10.2461215990195	12.6136262983934
NM_001178150.1	2323.24857066856	2357.72035781716	1998.87087254287	2252.3158384713	2100.85729905816	2042.94667368303	1921.60704126253	1897.28784864768	2057.18220355818	1802.5177537057	1768.11814015189	1859.56908368138
NM_001178151.1	8238.92084696569	8607.79979995248	9453.59190821481	10504.3467699395	9948.68209096717	10068.8639294374	9270.49305975585	8955.02510116688	8702.81374403064	10483.8867228286	11024.4783330076	10991.1376382873
NM_001178152.1	84.6424897672141	93.8639383548585	95.3920172645221	82.4356770756783	88.1185152068334	79.2600314445457	85.2272464707272	91.4395190031502	79.0865785730745	86.0840120589411	77.5777778211476	80.8387099786537
NM_001178153.1	21.1461783309217	21.2660485335226	23.8635810661737	28.6845145937313	28.1012869562918	29.1738877955494	25.9444677482539	26.7547693991963	22.409933174945	34.3093456241329	36.5235899175933	35.4714684302886
NM_001178154.1	7.10650255383436	6.96646417477465	6.0437790167594	8.39861913780422	8.20150682661004	9.48796793350832	10.496616722576	8.9401686444489	9.62199346846668	11.3213937270781	10.7340321513538	10.3835929196719
NM_001178155.2	8.78201941612051	9.10529089510021	8.22452402280661	9.88452867756958	10.93534243548	9.74614393169902	11.8169458700698	10.7150550665086	9.06329707352345	10.6310648412806	10.0370170765905	11.7076752382878
NM_001178156.1	8.89757230317472	9.28861889969954	11.1529530309271	10.465971540956	8.64654983270515	9.93977593034205	8.78018883083402	8.80869557614818	9.06329707352345	8.56007818388829	7.52776280744289	7.94449391169528
NM_001178157.1	901.948059901692	885.77980888911	867.064214404369	818.219318309927	868.914680614569	960.8019772667	971.696236098089	1049.48376771049	1040.7272290248	1227.54282472501	1170.07920600504	1175.57603330165
NM_001178158.2	20.5106374521236	23.099328579516	20.997459058226	28.4260955433374	22.9515036000482	29.6902397919308	24.426089228636	20.9042178598143	25.3275699040929	31.8931945238419	28.9261256026741	34.565517370183
NM_001178159.1	13.1152526806537	15.4606617212104	15.7636710437127	17.8955192397828	17.4202548100089	16.6523518833003	14.5236206224322	16.1711874009885	14.8364931546035	17.6033865878348	20.3528401830863	17.2130701420064
NM_001178160.1	7.74204343263255	8.31086954183643	9.3460500259166	9.62610962717561	9.7273685617933	10.0688639294374	10.2985673504519	10.6493185323582	11.1739278988645	13.9446434931083	14.2888090326462	12.6833148414784
NM_001178161.1	199.559835942633	216.693701436412	205.301565569301	250.08503601877	240.577533580561	228.163038401033	225.578234849322	220.874754745208	211.497624174619	246.447412229687	234.057662105493	245.024917487023
NM_001178162.2	37.4391354055664	35.1989768830719	41.9326111162791	41.4762575882331	37.192879795092	41.4372477096078	38.4215781920707	39.9678127634186	34.0184027143209	42.8694238080212	37.9873215745961	42.9281425403885
NM_001178163.1	0.115552887054217	0.0611093348664443	0.124614000345555	0.129209525196988	0	0	0.132032914749384	0.0657365341503596	0.186232131647742	0.138065777159489	0.278806029905292	0.0696885430850463
NM_001178164.1	74.8204943676056	80.6643220237065	76.6376102125161	87.6686628461564	84.1767057242767	87.6507513857435	83.972933780608	82.630823427002	82.8112212060294	94.4369915770902	89.3573325846462	90.7344830967303
NM_001178165.2	9.59088962550003	9.6552749088982	9.22143602557104	9.49690010197862	10.7446097185821	15.3614718923468	11.0907648389482	12.0955222836662	11.1739278988645	14.4969066017463	13.591793957883	15.05272530637
NM_001178166.1	103.593163244106	111.768973470727	101.124261280418	102.140129668219	101.342650245088	112.629279210694	100.939163325904	101.628681796456	109.380338654441	113.006838605041	104.691664229437	112.198554366925
NM_001178167.1	44.5456379594007	49.2541239023541	46.9794781302741	50.3917148268253	50.3534372610477	51.8288316367835	52.9451988145029	54.4955868106481	49.1652827550039	67.7212636967291	69.8409104912757	71.1520024898323
NM_001178168.1	314.650511448633	324.551677475686	335.087046929196	289.752360254246	273.955759037695	309.101213833819	285.389145230793	299.75859572564	292.384446686955	280.342560522342	285.985285175354	303.493605135377
NM_001178169.1	13.5774642288705	15.1551150468782	13.7698470381838	16.2804001748205	15.767237930227	15.6196478905375	17.9564764059162	17.8146007547474	14.5881836457398	21.60729412546	13.9403014952646	20.9065629255139
NM_001178170.2	75.6293645769851	75.1644818857265	91.7159042543282	81.5312103992994	85.5754123148613	83.0035834183109	75.6548601513969	72.7046067702977	71.6993706843807	82.0801045213159	83.3630029416824	76.9361515658911
NM_001178171.2	62.9763234445484	63.675926930835	67.6030951874634	70.4837959949569	61.4159348411263	68.0939195227978	71.8919220810394	69.5492531310804	63.2568473830164	67.4451321424101	65.1012079828858	73.9395442132341
NM_001178172.1	4.79544481275001	5.74427747744577	6.54223501814162	6.26666197205392	6.54848994682817	6.32531195567221	6.93172802434264	9.13737824689998	5.52488657221635	7.24845330087315	8.36418089715877	8.36262517020556
NM_001178173.1	2.94659861988254	2.44437339465777	2.11843800587443	2.45498097874277	2.16163745817629	2.96902397919308	1.91447726386606	2.49798829771366	2.04855344812516	2.00195376881258	3.06686632895822	2.23003337872148
NM_001178174.1	50.1499529815303	54.6317453706012	54.2070901503163	51.1023672154088	53.5958934483121	55.7660156091918	63.5738484518283	56.2704732327078	54.2556276867089	61.9915339446104	55.6218029661058	60.5593439409052
NM_001178175.1	19.5284379121627	26.9492166761019	24.4866510679015	34.0467098894063	31.089432854359	37.1773437394612	27.6608956399959	29.6471769018122	26.693272202843	42.1790949222238	41.3329939334596	38.0499445244353
NM_001178176.1	11.2664064877862	12.5885229824875	13.8321540383566	16.603423987813	16.1487033640229	15.9423678882759	15.2498016535538	14.3963009789287	14.5881836457398	14.4278737131666	15.6131376746964	16.2374305388158
NM_001178177.1	12.6530411324368	12.7718509870869	10.9660320304088	12.7917429945018	12.0797387368675	14.6514878973224	11.4208471258217	11.9640492153654	11.6705469165918	11.6665581699768	9.68850953920891	11.0107898074373
