##############################################
YHL039W-t26_1	wt_ssb1_flag_1_wt_1	wt_ssb1_flag_1_wt_2	wt_ssb1_flag_2_wt_1	wt_ssb1_flag_2_wt_2
-10	0.0	0.0	0.0	0.0
-9	0.0	0.0	0.0	0.0
-8	0.0	0.0	0.0	0.0
-7	0.0	0.0	0.0	0.0
-6	0.0	0.0	0.0	0.0
-5	0.0	0.0	0.0	0.0
-4	0.0	0.0	0.0	0.0
-3	0.0	0.0	0.0	0.0
-2	0.0	0.0	0.0	0.0
-1	0.0	0.0	0.10368850365840067	0.48933590966559387
0	0.2714805261611451	0.3014575966384249	0.311065510975202	0.34541358329336036
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.1447896139526107	0.4270649285711019	0.2488524087801616	0.7340038644983907
4	0.0	0.0	0.8919113855973987	0.48933590966559387
5	0.24131602325435114	0.8541298571422038	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.0	0.0	0.8919113855973987	0.8106030899336762
8	0.0	0.0	0.8295080292672053	0.48933590966559387
9	0.0	0.0	0.0	0.0
10	0.7239480697630535	0.8541298571422038	0.0	0.0
11	0.0	0.0	0.0	0.0
12	0.36197403488152674	0.8541298571422038	0.622131021950404	1.4680077289967814
13	0.0	0.0	0.0	0.0
14	0.0	0.0	0.1382513382112009	0.9786718193311877
15	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0
18	0.0	0.0	0.20737700731680134	0.1631119698885313
19	0.0	0.0	0.4147540146336027	1.3048957591082504
20	0.0	0.0	0.0	0.0
21	0.0	0.0	0.0	0.0
22	0.0	0.0	0.0	0.0
23	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0
26	0.0	0.0	0.8295080292672053	0.48933590966559387
27	0.0	0.0	0.4147540146336027	0.9786718193311877
28	0.0	0.0	0.0	0.0
29	0.7239480697630535	1.7082597142844076	0.4147540146336027	0.9786718193311877
