Codon	Nucleotide	Frame	SRR1944912	SRR1944913	SRR1944914	SRR1944915	SRR1944916	SRR1944917
-15	-45	0	0.6070277315235788	0.6017093635615876	0.6272602848900193	0.5672444083218153	0.5993078484330543	0.6673231245077655
-14	-42	0	0.5813089764070054	0.6194265951180365	0.5245296636814729	0.5602080988775311	0.5522553330412018	0.5412133653494609
-13	-39	0	0.6389320100226192	0.6534349033688055	0.5759120221817317	0.5653871083669789	0.631277886597851	0.5498444515275958
-12	-36	0	0.5298714661738586	0.5375141107290878	0.5253479626887764	0.4664144511582926	0.5108587466094953	0.5269388766702376
-11	-33	0	0.5807880902274292	0.6099371800738703	0.5788442602912353	0.592425109632578	0.5724321576295239	0.5889056492312064
-10	-30	0	0.5732569442143904	0.5744295808141966	0.5524541173057012	0.5497250693247526	0.5450550546841365	0.594622821699629
-9	-27	0	0.635481139082927	0.6387711059402481	0.6757785968647161	0.6227848204327885	0.6524374789842127	0.7158637630138578
-8	-24	0	0.5887533080567815	0.6030075301668588	0.5787419729153224	0.532348599554985	0.5504101363591684	0.551098540972282
-7	-21	0	0.508428318447973	0.5334184865096405	0.5039699011229752	0.48613040452501755	0.5260816192362711	0.5430944995164902
-6	-18	0	0.6501744700651382	0.6530692226349262	0.7404242184416838	0.5301877024921465	0.582380174523965	0.7008515746612898
-5	-15	0	0.8208298046487807	0.801352760222956	0.8832514910080963	0.7191143969365154	0.7752633972534816	0.8704487295632745
-4	-12	0	0.5242068289709678	0.5486125210023226	0.6181567084337691	0.5378669234592586	0.516213828284527	0.5944015117976257
-3	-9	0	0.45735976925869265	0.4610685533116337	0.4749202863637049	0.49831000615192556	0.4311943855112692	0.5339839085506811
-2	-6	0	0.5727360580348143	0.5811215382441866	0.5420208049625829	0.5194367931381897	0.5491666342473632	0.5411395953821263
-1	-3	0	0.510425048803015	0.5272384821070815	0.510993634268996	0.506257106920216	0.4890372901958825	0.5072054104082625
0	0	0	0.5788564706448343	0.6031903705337985	0.5601938620831123	0.5882819020410198	0.5404019500077044	0.5887949942802047
1	3	0	0.5207559580312757	0.5569683257714632	0.5377247351742401	0.506721431908925	0.47714379419103653	0.5264593718825635
2	6	0	0.6270167386648143	0.644512293462152	0.549862837115907	0.5638869814803802	0.5853886473751065	0.5296683654616137
3	9	0	0.44913410833955236	0.4723498039518081	0.38930575272458773	0.4819336209732238	0.4578895679437311	0.4361649318651519
4	12	0	0.3431120672049861	0.3818255382800035	0.3154883631074277	0.42041055996926774	0.37730260850448843	0.34546475702740065
5	15	0	0.7257029661036828	0.7325682141802718	0.6591398503828806	0.7050596367013591	0.6994498814047166	0.6799746739056299
6	18	0	0.38506510825168344	0.4278647426753991	0.40434199698378753	0.2946856399495726	0.34529245736834324	0.3746776640918574
7	21	0	0.3784889202345343	0.41384088653113055	0.35394841645068703	0.29811450140465523	0.3342413337618169	0.34546475702740065
8	24	0	0.5633601068024432	0.5596012270553935	0.5407933564516277	0.4825765324960517	0.5216691923879302	0.5506559211682751
9	27	0	0.6048139652603801	0.6122044006239217	0.5582504019407667	0.5201868565814889	0.53747370309926	0.5613156814481085
10	30	0	0.5413526657153501	0.5612467903578502	0.5141304471303256	0.5562077605132681	0.539720029494779	0.5368609372767261
11	33	0	0.6770001083133109	0.6513139551123058	0.6256236868754125	0.5655299775942739	0.6014338359145276	0.6130284285495835
12	36	0	0.5834793354885728	0.5890385261326719	0.5611485442582995	0.5147935432510986	0.5159330374850871	0.6110735244152196
13	39	0	0.5374026121868974	0.5602046002662944	0.5789465476671484	0.47857619413178876	0.5165748450266641	0.632798779795226
14	42	0	0.5342338879278091	0.5594549547618419	0.5189038580062622	0.5408314599256321	0.5242163660685633	0.5480370873279008
15	45	0	0.5359050644206159	0.5550119338452092	0.47174937771040426	0.47743324031342793	0.49912570249004357	0.48319328604088707
16	48	0	0.5679612680553661	0.5629472057703886	0.482796414309	0.5282946852304864	0.5450349981984622	0.5055824711269038
