gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.33	0.79	0.58	0.93	0.48	0.27
Q0050	0.47	0.56	0.59	0.32	0.08	0.47
Q0055	0.22	0.19	0.29	0.11	0.17	0.14
Q0060	0.0	0.14	0.0	0.04	0.0	0.0
Q0065	0.0	0.13	0.21	0.04	0.04	0.07
Q0070	0.06	0.17	0.0	0.0	0.04	0.0
Q0075	0.33	0.0	0.15	0.0	0.13	0.0
Q0080	1.17	1.97	0.91	2.94	1.35	0.5
Q0085	1.09	2.26	0.7	1.39	1.3	0.65
Q0105	0.83	1.15	0.27	1.12	0.43	0.32
Q0110	0.0	0.0	0.17	0.06	0.07	0.0
Q0115	0.0	0.05	0.0	0.0	0.14	0.09
Q0120	0.0	0.09	0.06	0.1	0.12	0.0
Q0130	8.94	12.02	6.2	11.13	3.67	5.73
Q0140	0.3	0.18	0.13	0.28	0.23	0.5
Q0158	0.0	0.0	0.0	0.0	0.0	0.0
Q0160	0.0	0.06	0.11	0.12	0.06	0.0
Q0250	1.46	2.16	0.41	3.7	1.77	1.23
Q0255	0.0	0.09	0.06	0.0	0.1	0.0
Q0275	0.8	1.92	0.48	2.22	1.03	1.36
Q0285	0.0	0.0	0.0	0.0	0.0	0.0
YAL001C	6.46	7.1	7.19	8.42	7.71	8.26
YAL002W	2.5	2.95	3.26	3.02	2.44	3.19
YAL003W	3811.46	3814.53	3289.57	3608.6	3414.74	3309.08
YAL005C	1372.4	1437.97	1686.13	1919.67	1782.82	1754.23
YAL007C	131.11	145.96	146.38	131.18	140.23	133.36
YAL008W	32.91	37.17	40.28	49.68	49.73	49.66
YAL009W	8.41	8.41	7.3	10.73	10.05	11.51
YAL010C	6.16	6.07	5.41	6.99	6.94	6.46
YAL011W	4.47	4.47	5.01	5.01	4.14	4.66
YAL012W	680.75	669.17	634.24	637.92	662.59	722.4
YAL013W	16.09	17.75	15.77	21.77	17.77	22.69
YAL014C	19.55	20.46	21.3	24.61	25.27	21.38
YAL015C	5.41	6.43	6.32	7.28	6.97	7.29
YAL016W	91.44	98.48	92.51	116.68	109.83	105.55
YAL017W	8.85	8.21	9.6	9.67	8.65	10.23
YAL018C	0.1	0.04	0.08	0.13	0.0	0.0
YAL019W	19.76	21.06	20.19	23.24	21.75	23.56
YAL020C	8.87	8.46	8.79	8.63	9.47	13.72
YAL021C	36.86	38.93	34.48	36.82	35.94	40.72
YAL022C	25.72	27.53	26.28	29.78	29.58	31.59
YAL023C	125.86	128.46	129.68	117.55	109.61	123.81
YAL024C	2.87	3.17	2.91	3.5	3.27	3.24
YAL025C	77.76	77.29	87.52	86.11	88.61	80.09
YAL026C	13.13	13.16	13.46	14.88	12.62	13.93
YAL027W	6.75	6.96	7.94	7.83	8.63	7.98
YAL028W	1.67	1.43	1.35	1.34	1.27	1.85
YAL029C	10.64	11.31	11.26	10.72	10.99	11.79
YAL030W	73.03	88.24	87.24	105.12	98.36	124.85
YAL031C	4.68	5.12	5.39	6.96	6.44	6.35
YAL032C	11.25	10.53	9.27	10.66	10.16	11.65
YAL033W	35.21	35.97	39.3	38.08	41.12	47.48
YAL034C	0.57	0.45	0.57	1.16	1.17	0.69
YAL034W-A	7.51	7.62	8.1	7.39	7.56	5.86
YAL035W	238.62	246.14	234.62	293.5	274.49	286.52
YAL036C	123.73	126.21	132.32	189.78	193.57	207.37
YAL037C-A	0.84	1.76	3.94	1.05	1.55	0.72
YAL037W	0.69	0.58	1.36	0.52	0.57	0.42
YAL038W	8370.02	7978.51	8014.1	7891.99	7874.81	8287.99
YAL039C	20.49	18.97	21.69	24.57	21.44	29.42
YAL040C	10.15	10.25	9.77	7.95	7.16	7.74
YAL041W	14.5	17.19	15.2	16.37	16.45	17.79
YAL042W	97.52	94.41	98.97	119.26	116.18	127.38
YAL043C	18.48	18.88	17.67	19.72	18.26	22.21
YAL044C	274.77	247.69	244.31	321.4	347.03	364.8
YAL044W-A	56.79	66.42	61.07	58.82	56.83	59.13
YAL046C	48.98	50.37	50.81	49.91	50.72	62.05
YAL047C	5.7	6.56	5.33	6.62	6.11	5.93
YAL048C	5.33	5.09	5.9	6.78	6.48	5.92
YAL049C	55.09	61.84	57.33	70.73	71.45	63.43
YAL051W	7.31	7.48	8.34	9.55	9.23	8.48
YAL053W	28.51	28.64	29.71	30.6	29.87	31.86
YAL054C	0.55	1.09	0.75	0.8	0.84	0.61
YAL055W	8.44	9.44	14.55	8.95	7.94	9.21
YAL056W	3.76	4.01	4.79	4.99	4.64	4.97
YAL058W	10.31	9.59	11.0	11.1	11.21	12.91
YAL059W	54.24	55.66	60.26	53.32	54.12	47.99
YAL060W	47.51	45.94	44.64	59.18	53.84	55.95
YAL061W	5.95	3.95	8.2	8.23	6.46	12.81
YAL062W	0.82	0.91	1.45	1.49	0.93	1.26
YAL063C	0.62	0.19	0.5	0.29	0.24	0.56
YAL063C-A	0.0	0.14	0.0	0.0	0.0	0.27
YAL064C-A	0.0	0.0	0.0	0.0	0.0	0.0
YAL064W	0.0	0.0	0.0	0.0	0.0	0.0
YAL064W-B	0.13	0.11	0.2	0.15	0.16	0.0
YAL065C	0.25	0.6	0.27	0.13	0.02	0.0
YAL067C	0.11	0.19	0.09	0.22	0.24	0.15
YAL067W-A	0.0	0.0	0.0	0.0	0.0	0.0
YAL068C	0.0	0.0	0.0	0.0	0.0	0.0
YAR002C-A	200.56	209.8	227.25	212.4	218.38	228.55
YAR002W	49.19	48.69	46.72	50.07	45.71	46.0
YAR003W	10.4	10.73	11.06	11.27	12.32	10.0
YAR007C	52.66	54.62	55.35	65.45	62.12	60.35
YAR008W	12.42	11.5	13.87	13.32	13.18	11.99
YAR009C	0.19	0.17	0.22	0.12	0.15	0.27
YAR010C	0.04	0.03	0.12	0.1	0.07	0.13
YAR014C	20.62	22.7	19.2	25.21	20.88	20.19
YAR015W	166.07	148.19	112.21	108.87	117.22	86.47
YAR018C	8.79	10.15	8.9	11.63	11.32	12.29
YAR019C	2.87	2.97	2.82	3.83	3.07	3.48
YAR020C	0.0	0.22	0.52	0.33	0.23	0.0
YAR023C	0.36	0.61	0.71	0.23	0.42	0.46
YAR027W	33.68	35.82	34.07	35.48	34.1	31.19
YAR028W	21.34	21.97	22.05	22.6	22.26	22.19
YAR029W	0.2	0.68	0.63	0.51	0.0	0.35
YAR031W	4.81	5.95	7.55	4.97	5.36	5.76
YAR033W	14.89	14.31	14.29	13.49	13.05	14.67
YAR035C-A	0.0	0.0	0.0	0.0	0.0	0.79
YAR035W	0.92	0.79	1.16	1.18	1.49	1.34
YAR042W	10.5	9.76	12.14	8.73	9.38	10.29
YAR050W	0.0	0.07	0.12	0.18	0.03	0.07
YAR061W	0.0	0.0	0.0	0.0	0.0	0.0
YAR064W	0.0	0.0	0.12	0.0	0.0	0.0
YAR066W	0.02	0.0	4.41	0.0	0.0	3.29
YAR068W	0.0	0.89	0.0	0.27	0.28	0.87
YAR071W	36.39	44.39	45.28	6.56	9.11	1.88
YBL001C	198.8	207.49	235.22	270.43	255.42	275.39
YBL002W	1239.92	1270.77	1307.87	1142.31	1206.69	1170.76
YBL003C	971.66	973.88	1012.59	971.86	968.5	926.28
YBL004W	24.46	26.84	24.42	26.5	23.73	24.84
YBL005W	3.25	3.14	5.28	3.67	2.82	5.38
YBL005W-A	45.32	49.14	36.88	56.84	60.56	57.82
YBL005W-B	0.72	0.52	0.52	0.47	0.49	0.55
YBL006C	41.18	45.09	47.18	41.77	44.21	42.52
YBL007C	81.98	86.6	71.37	85.0	71.62	79.42
YBL008W	6.48	7.49	8.55	7.98	8.01	8.07
YBL008W-A	0.0	0.69	0.45	1.88	2.17	2.56
YBL009W	17.97	19.55	20.2	16.98	15.28	15.87
YBL010C	11.32	13.31	11.31	12.2	13.66	10.88
YBL011W	18.11	18.94	17.77	15.21	13.8	13.82
YBL013W	4.38	4.7	5.11	4.4	3.37	3.84
YBL014C	1.9	3.07	3.25	3.83	3.71	3.95
YBL015W	15.98	16.65	16.59	16.06	14.84	15.18
YBL016W	25.62	27.08	30.47	26.83	28.47	30.36
