SRR1944912_f0	SRR1944912_f1	SRR1944912_f2	frame
52.38095238095239	23.809523809523807	23.809523809523807	frame0
27.27272727272727	45.45454545454545	27.27272727272727	frame1
0.0	0.0	100.0	frame2
0.0	40.0	60.0	frame2
25.0	37.5	37.5	fuzzy
28.57142857142857	0.0	71.42857142857143	frame2
13.333333333333334	53.333333333333336	33.33333333333333	frame1
25.0	0.0	75.0	frame2
36.36363636363637	45.45454545454545	18.181818181818183	frame1
36.36363636363637	45.45454545454545	18.181818181818183	frame1
36.36363636363637	45.45454545454545	18.181818181818183	frame1
45.08361204013378	35.1505016722408	19.765886287625417	frame0
27.77777777777778	38.88888888888889	33.33333333333333	fuzzy
18.181818181818183	45.45454545454545	36.36363636363637	frame1
14.285714285714285	42.857142857142854	42.857142857142854	fuzzy
50.0	8.333333333333332	41.66666666666667	frame0
			fuzzy
53.125	21.875	25.0	frame0
50.847457627118644	25.181598062954	23.97094430992736	frame0
46.10778443113773	30.538922155688624	23.353293413173652	frame0
48.795709165643245	28.329030802777012	22.87526003157974	frame0
50.138321794189	29.40484644061779	20.456831765193208	frame0
51.40939597315436	28.79194630872483	19.798657718120804	frame0
54.12087912087912	25.82417582417583	20.054945054945055	frame0
56.41025641025641	23.931623931623932	19.65811965811966	frame0
52.73972602739726	28.08219178082192	19.17808219178082	frame0
40.26845637583892	27.516778523489933	32.21476510067114	fuzzy
48.94852793911476	29.995326790840508	21.05614527004473	frame0
51.03244837758112	28.613569321533923	20.353982300884958	frame0
49.56140350877193	31.57894736842105	18.859649122807017	frame0
55.46875	28.90625	15.625	frame0
52.20588235294118	26.53186274509804	21.262254901960784	frame0
53.205128205128204	25.961538461538463	20.833333333333336	frame0
50.0	50.0	0.0	fuzzy
51.217532467532465	25.811688311688314	22.97077922077922	frame0
50.609756097560975	21.341463414634145	28.04878048780488	frame0
51.34660421545667	28.864168618266977	19.789227166276348	frame0
49.93429697766098	28.51511169513798	21.55059132720105	frame0
52.32491933953312	27.15885367242361	20.51622698804327	frame0
51.541850220264315	28.634361233480178	19.823788546255507	frame0
52.32833464877664	28.57142857142857	19.10023677979479	frame0
52.1865889212828	26.62779397473275	21.18561710398445	frame0
48.717948717948715	32.05128205128205	19.230769230769234	frame0
45.83333333333333	41.66666666666667	12.5	frame0
49.40898345153664	28.959810874704488	21.631205673758867	frame0
58.111380145278446	21.791767554479417	20.09685230024213	frame0
57.59162303664922	22.5130890052356	19.895287958115183	frame0
54.066985645933016	23.923444976076556	22.00956937799043	frame0
52.19941348973607	29.03225806451613	18.7683284457478	frame0
53.38983050847458	22.88135593220339	23.728813559322035	frame0
50.81547575513786	26.5413588824691	22.643165362393034	frame0
52.44170699516057	26.44082710074791	21.11746590409151	frame0
50.0	10.0	40.0	frame0
48.067311700563856	31.848000175519424	20.084688123916717	frame0
