SRR1944915_f0	SRR1944915_f1	SRR1944915_f2	frame
23.809523809523807	38.095238095238095	38.095238095238095	fuzzy
36.36363636363637	36.36363636363637	27.27272727272727	fuzzy
12.5	50.0	37.5	frame1
23.52941176470588	41.17647058823529	35.294117647058826	fuzzy
18.181818181818183	50.0	31.818181818181817	frame1
			fuzzy
45.83333333333333	33.33333333333333	20.833333333333336	frame0
33.33333333333333	50.0	16.666666666666664	frame1
36.84210526315789	21.052631578947366	42.10526315789473	fuzzy
35.0	25.0	40.0	fuzzy
43.75	25.0	31.25	fuzzy
44.927536231884055	40.60469765117441	14.46776611694153	fuzzy
41.17647058823529	26.47058823529412	32.35294117647059	fuzzy
29.72972972972973	43.24324324324324	27.027027027027028	fuzzy
30.158730158730158	31.746031746031743	38.095238095238095	fuzzy
34.146341463414636	34.146341463414636	31.70731707317073	fuzzy
0.0	100.0	0.0	frame1
56.41025641025641	29.48717948717949	14.102564102564102	frame0
53.99361022364217	31.150159744408946	14.856230031948881	frame0
50.0	33.057851239669425	16.94214876033058	frame0
45.82819830922575	38.7602430217725	15.411558669001751	frame0
46.62772273447492	39.25462459194777	14.117652673577306	frame0
48.717948717948715	35.66433566433567	15.61771561771562	frame0
54.42622950819672	35.24590163934426	10.327868852459018	frame0
52.29885057471264	32.18390804597701	15.517241379310345	frame0
48.01980198019802	29.207920792079207	22.772277227722775	frame0
49.047619047619044	33.33333333333333	17.61904761904762	frame0
45.56671101971695	38.50247973872021	15.93080924156284	frame0
47.72727272727273	36.71328671328671	15.55944055944056	frame0
51.06951871657755	36.36363636363637	12.566844919786096	frame0
45.320197044334975	36.45320197044335	18.226600985221676	frame0
51.75808720112518	34.61924854329917	13.622664255575648	frame0
51.20772946859904	32.608695652173914	16.183574879227052	frame0
0.0	66.66666666666666	33.33333333333333	frame1
52.24559408754974	33.5986355884025	14.155770324047753	frame0
52.02020202020202	34.84848484848485	13.131313131313133	frame0
51.98432141107301	31.945124938755516	16.070553650171483	frame0
47.898338220918866	36.950146627565985	15.151515151515152	frame0
49.18789536672936	36.5361600273551	14.27594460591554	frame0
54.268292682926834	29.878048780487802	15.853658536585366	frame0
50.56784219964137	34.070531978481775	15.361625821876867	frame0
53.11381531853973	33.21403006442377	13.672154617036506	frame0
46.400000000000006	36.8	16.8	frame0
59.183673469387756	28.57142857142857	12.244897959183673	frame0
50.91787439613527	34.29951690821256	14.782608695652174	frame0
48.88304862023653	38.107752956636006	13.009198423127463	frame0
50.882352941176464	32.64705882352941	16.470588235294116	frame0
46.12403100775194	38.372093023255815	15.503875968992247	frame0
51.60493827160494	34.074074074074076	14.320987654320987	frame0
55.223880597014926	34.32835820895522	10.44776119402985	frame0
51.57873600722856	34.37076451985342	14.050499472918027	frame0
50.52582379060529	36.05982706239776	13.414349146996962	frame0
20.0	50.0	30.0	frame1
43.67451631431112	41.13747767453205	15.188006011156832	fuzzy
49.184149184149184	36.13053613053613	14.685314685314685	frame0
50.0	34.02777777777778	15.972222222222221	frame0
53.80493033226153	31.939978563772776	14.255091103965704	frame0
48.67573371510379	37.186828919112386	14.137437365783823	frame0
