Sample	Site	Length	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
R_GR_in_01d_1	TIS	27	0	0	0	0	0	0	0	0	263	193	188	339	228	181	226	131	123	177	173	132	281	719	1903	3762	2421	1853	2989	2535	1497	2211	1764	986	2463	1773	751	263	193	188	339	228	181	226	131	123	177	173	132	281	719	1903	3762	2421	1853	2989	2535	1497	2211	1764	986	2463	1773	751	5249	0	0	0	0	0	0	0
R_GR_in_01d_1	TIS	28	0	0	0	0	0	0	0	462	360	331	739	393	362	370	288	286	326	246	215	205	460	1324	3374	6113	5104	4554	5074	2985	2935	3104	2373	2302	3519	2550	1916	462	360	331	739	393	362	370	288	286	326	246	215	205	460	1324	3374	6113	5104	4554	5074	2985	2935	3104	2373	2302	3519	2550	1916	8600	0	0	0	0	0	0
R_GR_in_01d_1	TIS	29	0	0	0	0	0	0	878	527	510	1033	631	465	805	662	614	552	498	399	328	610	750	2002	4947	12889	13743	7714	5830	7270	4226	4151	6812	2941	4310	6845	2926	878	527	510	1033	631	465	805	662	614	552	498	399	328	610	750	2002	4947	12889	13743	7714	5830	7270	4226	4151	6812	2941	4310	6845	2926	12340	0	0	0	0	0
R_GR_in_01d_1	TIS	30	0	0	0	0	0	1555	726	742	1934	768	1003	1092	1258	730	1080	879	709	789	553	535	896	2793	9312	34961	21918	6301	16832	11446	4214	11583	9339	2898	11660	12581	2399	1555	726	742	1934	768	1003	1092	1258	730	1080	879	709	789	553	535	896	2793	9312	34961	21918	6301	16832	11446	4214	11583	9339	2898	11660	12581	2399	30960	0	0	0	0
R_GR_in_01d_1	TIS	31	0	0	0	0	1487	1064	769	2184	1060	800	1351	1380	792	1046	1048	794	790	967	619	561	1255	3672	26167	52461	9960	13032	22647	6079	8846	16525	4990	5568	16530	6332	4447	1487	1064	769	2184	1060	800	1351	1380	792	1046	1048	794	790	967	619	561	1255	3672	26167	52461	9960	13032	22647	6079	8846	16525	4990	5568	16530	6332	4447	42372	0	0	0
R_GR_in_01d_1	TIS	32	0	0	0	911	561	657	1332	673	504	791	792	498	642	525	449	493	468	536	498	636	1068	7262	25158	13734	5896	13445	6524	4264	9012	4713	4574	4958	3258	4213	4609	911	561	657	1332	673	504	791	792	498	642	525	449	493	468	536	498	636	1068	7262	25158	13734	5896	13445	6524	4264	9012	4713	4574	4958	3258	4213	4609	10013	0	0
R_GR_in_01d_1	TIS	33	0	0	246	163	175	333	104	134	150	115	87	139	113	82	104	92	84	95	134	124	978	4156	3076	1239	2932	2020	650	1651	1253	1108	2513	504	377	1640	546	246	163	175	333	104	134	150	115	87	139	113	82	104	92	84	95	134	124	978	4156	3076	1239	2932	2020	650	1651	1253	1108	2513	504	377	1640	546	2120	0
R_GR_in_01d_1	TIS	34	0	42	10	32	39	6	14	28	13	11	6	9	21	29	11	5	19	19	43	111	302	280	211	202	211	130	139	157	92	247	143	27	47	127	53	42	10	32	39	6	14	28	13	11	6	9	21	29	11	5	19	19	43	111	302	280	211	202	211	130	139	157	92	247	143	27	47	127	53	611
R_GR_in_01d_1	TTS	27	0	0	0	0	0	0	0	0	1494	1575	1006	1467	2610	1079	955	1454	1237	1350	1636	961	1345	1775	1557	1846	1779	1043	1092	818	406	137	49	63	84	47	32	1494	1575	1006	1467	2610	1079	955	1454	1237	1350	1636	961	1345	1775	1557	1846	1779	1043	1092	818	406	137	49	63	84	47	32	76	0	0	0	0	0	0	0
