Position	R_WT_1	R_WT_2	R_WT_3	R_KO_1	R_KO_2	R_KO_3
-20	1.05539739372674	1.02283405414447	0.9947718464823067	1.0259819790206497	1.1044155692900364	1.0287961084067423
-19	0.992591223156837	1.007101141100891	0.9930580593210011	0.9939716868156678	1.0035314358819238	0.995634466942492
-18	1.0009664278594792	0.971885501435508	1.03854646126196	1.0331516436486718	1.0224655774038203	1.0449293397663768
-17	1.0112577658637456	1.035590265080059	0.9596470837846126	1.017426283885675	1.0083588356654054	0.9995314936351385
-16	0.9661433248805367	0.9929538017529361	1.0557350105645482	1.0101610819236522	1.0422801073077566	1.0450333282114834
-15	1.0296631895215107	1.0817262422247698	0.9969389171964834	1.066311397727562	1.0025113269697359	0.9986247337716594
-14	1.0004779092766614	1.002420849366945	1.0346680795360992	1.022094378913933	1.057952414546185	0.9797361572821797
-13	1.049044102578814	1.027050768616597	0.9989576997852945	1.0260798429824438	0.9516436679881861	1.042540199343626
-12	1.0066604913675314	1.006126655125818	1.0486364477918089	1.0002981382455975	1.0436598562292374	0.9532182589356497
-11	0.9440907928009472	0.917613369814828	0.9580287985967528	0.9840105451467533	0.9610814635093368	0.945150380964647
-10	1.0137075942865275	0.9921610268214556	0.9512385447635441	0.9759976043713697	0.9910405185895076	0.949495733530268
-9	0.9894684225131697	1.0093080434082222	1.0034590132831398	0.9710209729755688	1.0182413509149109	0.9983865828958598
-8	0.9803312316413719	1.0101745711751817	0.9860117991183186	0.9849485195086672	0.9711965501221247	0.9775970074510871
-7	0.8425804388005043	0.8727165673780587	0.8805887082415756	0.8800753887092768	0.870524463608199	0.863877571201536
-6	1.084506899497519	1.0840225170497222	1.013811438497128	1.0306463696351105	1.046709663874051	1.0653121446750964
-5	1.101127618413366	1.061169789443448	1.1034458145625734	1.1044684508199534	1.1371076973603151	1.11682023486382
-4	1.1036723601645795	1.1498518176880999	1.0479075182693294	1.0689248315254296	1.0867556102160354	1.1379974895357567
-3	0.9908055365606915	0.978968014699637	0.9521407467505398	1.0125868593106757	0.9773943418090244	0.9779070661543656
-2	0.8196775187944443	0.7985780872057343	0.819982114905924	0.8509353197802333	0.817295966851774	0.8078188434830117
-1	0.7821478875544496	0.8444459113846596	0.8243665719336808	0.7990422149684162	0.8277393565703786	0.8155095489387132
0	0.9404591247072428	0.9267236207692073	0.8697329095763555	0.8963041532965542	0.926105425971832	0.8690534353292718
1	1.0482470188236976	0.9840902330913898	0.9366216353452458	1.0515003930838918	1.020214265825257	1.0749290805036262
2	1.0877742933845	1.0417305456468022	1.0732666021134918	1.0344379352602873	1.0474575150789396	1.0639002343384933
3	1.0794872415000267	1.0919101163812581	1.0650820879663994	1.120786579959695	1.1229944776639413	1.0844386454074981
4	1.0488410954437568	1.0073157033343074	1.019764782447915	0.9666077095236588	1.012363495513942	0.976795839043165
5	1.1952957842485339	1.17132566871539	1.1774176969077361	1.1673392876149538	1.2102542560758123	1.2335830999940451
6	1.0113738906759386	1.0458102336964312	1.0344478414591047	1.052480948481403	1.0533761472487175	1.047426490842402
7	0.9831412714941469	1.0049875828354986	1.0442124681222735	1.0033783595942203	1.0280130798129437	0.9892279807178738
8	0.9606798767652476	0.9879261660991775	1.0115135075235948	0.9813119328443244	0.9419930797571973	0.9612566419408743
9	0.956800006295607	0.9928090202805919	0.9998442280885462	0.9630697351463791	0.9794575717682251	0.9840114429093114
10	0.988117286312564	0.9921382553390174	1.0236476993688388	0.9899928356146703	0.9573107389114466	0.985611977408818
11	1.023707746081183	1.027708085568118	1.0507670071635613	0.980305685304587	1.048112865814555	1.057355757474986
12	0.9803878036874984	1.0558523443063623	1.0139602871200886	1.0459022083680423	0.9847045101887812	1.0228559019557812
13	1.0395618492648409	0.9512638551649698	1.0245797240325112	0.9955168380641296	0.9208681999025025	0.9655691813405235
14	0.9473566934461262	0.9793461983521473	1.0246130711702393	0.9946606985686096	0.9944189611967427	1.0141856628365118
15	0.9274381343218975	0.9920415827825508	0.95050396846105	0.936603313690917	0.9608781115037345	0.9297247288613212
16	0.9798031402802129	0.9766437860250189	1.0226961772688268	0.9633595995899487	0.9746895275255959	0.9854384314152131
17	1.0093053493203856	0.9476375163657347	0.975550170782092	0.9618736785179262	0.925401844256975	0.9678822354299444
18	1.0140884496479292	0.9828454995596237	0.989404795341475	1.0130857087422938	0.9803679218555692	1.019441564096339
19	1.0104308820040095	0.9814603250310916	1.0533665614838865	0.995189357507487	0.9786720371163707	0.9872118474696179
20	1.0033849330352305	0.9917346657382853	0.9770661036101428	1.02815953131071	0.990440192302977	1.0361831306948734
