	samples	PC1	PC2
0	WT_mrna_YPD1	9.968721215649817	-15.306878260272672
1	WT_mrna_YPD2	17.646737536422574	-14.01040102208986
2	WT_mrna_YPD3	8.290753297220522	-14.931773582447207
3	ncs2d_mrna_YPD1	-21.93856807384938	-5.042085362145763
4	ncs2d_mrna_YPD2	74.84603012716167	10.620914458807643
5	ncs2d_mrna_YPD3	9.779056470722074	-1.3117323224714208
6	elp6d_mrna_YPD1	34.26242711740895	4.546583236967666
7	elp6d_mrna_YPD2	-61.74357908734348	-10.646510811526545
8	elp6d_mrna_YPD3	23.481286022915697	4.021849194566727
9	ncs2d_elp6d_mrna_YPD1	-25.683536628638	14.811284594882782
10	ncs2d_elp6d_mrna_YPD2	-25.52716863679452	16.009447702115807
11	ncs2d_elp6d_mrna_YPD3	-43.38215936087611	11.239302173612804
