name	aa_num	SRR1944912	SRR1944913	SRR1944914	SRR1944915	SRR1944916	SRR1944917
CCW22	131	122.65415019762845	121.69758378799689	122.78213802435724	121.2621776504298	120.44516547696301	122.36491228070176
FLO8	794	768.9999999999999	858.7166666666666	988.7142857142858	787.0941176470589	793.2842105263157	808.4358974358975
NM_001178148.1	1155	1131.0	1149.7251655629138	1147.8805970149251	1141.3761467889908	1156.040590405904	1151.4397590361446
NM_001178149.1	1269	1261.3815789473683	1298.6637931034481	1261.3815789473683	1255.550847457627	1259.4767441860465	1268.4905660377358
NM_001178150.1	201	195.70611416288511	195.4512095021969	198.03484045551923	197.67510434169873	198.07458770614693	193.79097154072622
NM_001178151.1	637	623.1165501517462	622.083921428145	624.0749657425952	621.5766588471851	623.7849897861587	622.0325022896103
NM_001178152.1	210	198.80838323353294	202.7065868263473	195.7467248908297	200.7578659370725	202.33035714285714	200.77058823529413
NM_001178153.1	193	190.251497005988	191.92964824120602	189.6412213740458	202.53696498054475	184.9570815450644	187.23741007194243
NM_001178154.1	254	245.33333333333334	261.18644067796606	270.5882352941176	247.25	248.9041095890411	248.77551020408166
NM_001178155.2	488	476.37333333333333	500.0888888888889	507.5	474.1978021978022	500.4943820224719	474.0869565217391
NM_001178156.1	620	596.0	640.1481481481482	605.6129032258065	607.92	596.0	620.3265306122448
NM_001178157.1	389	378.6861840207672	381.584729981378	377.6132030505243	380.1717800084829	382.83510481251847	381.6890354868062
NM_001178158.2	400	385.0059880239521	390.7772925764192	401.0666666666666	389.0153846153846	394.1204819277109	415.73983739837394
NM_001178159.1	250	232.27777777777777	235.5878787878788	245.53086419753086	236.1573033707865	238.64335664335664	251.11111111111111
NM_001178160.1	394	386.56716417910445	400.8333333333333	400.2040816326531	413.8157894736842	382.3333333333333	379.0243902439024
NM_001178161.1	630	609.9467140319716	612.9431714023831	611.2291466922339	609.0845732184808	610.971741112124	613.7408759124088
NM_001178162.2	1351	1347.734375	1355.926430517711	1353.9441624365481	1336.4785714285713	1359.169696969697	1354.2205128205128
NM_001178164.1	1126	1119.8606158833063	1115.2134292565947	1115.9493670886077	1116.7754189944135	1122.961956521739	1125.0651162790698
NM_001178165.2	328	304.0	310.46808510638294	315.921568627451	313.80645161290323	318.6153846153846	322.4242424242424
NM_001178166.1	832	827.0341578327444	826.8432835820895	829.7474120082816	820.4547206165703	822.6409966024916	830.0765027322404
NM_001178167.1	512	506.335260115607	512.9488752556238	517.1009174311927	497.3846153846154	502.1607142857143	533.8803418803419
NM_001178168.1	754	742.1574564723694	742.1006630500301	743.3668044890727	740.4960460100647	744.0025575447571	737.4489795918367
NM_001178169.1	1430	1457.5963302752293	1415.3733333333332	1447.3529411764705	1422.1609195402298	1436.3453237410074	1406.0000000000002
NM_001178170.2	301	297.6716417910448	300.80763983628924	300.0833333333333	292.1732484076433	295.7609561752988	298.13947368421054
NM_001178171.2	1350	1330.9756097560976	1336.5071315372427	1333.534090909091	1334.9959294436906	1338.439024390244	1337.8746268656716
NM_001178174.1	1466	1486.2557544757035	1469.6245210727968	1467.935251798561	1453.1782945736434	1462.642126789366	1466.9480968858134
NM_001178175.1	112	97.46835443037975	94.81918819188192	104.39215686274508	95.35888501742161	94.66666666666667	94.36144578313252
NM_001178176.1	755	752.0865384615385	736.8951612903227	739.9146341463414	748.9386503067484	741.013698630137	731.0
NM_001178177.1	374	359.72222222222223	365.3508771929824	390.38461538461536	369.26605504587155	371.6814159292035	371.875
NM_001178178.1	168	169.17482517482517	164.33898305084745	184.88888888888889	166.36024844720498	163.55555555555554	164.34782608695653
NM_001178179.1	284	348.6363636363636	282.41379310344826	268.38709677419354	263.6111111111111	280.79999999999995	279.25925925925924
NM_001178180.1	997	999.673420738975	994.6936416184972	994.39725703476	993.6044761140105	993.8658200551096	994.0553474823138
NM_001178181.1	364	354.5844504021448	355.4216867469879	352.3291492329149	351.6658378915962	353.46356916578674	349.43570767807586
NM_001178183.1	495	502.2816152396071	501.76313366412603	501.5084826686189	498.6288009404389	501.8832887212556	493.0549992673277
NM_001178184.1	264	262.95652173913044	261.36986301369865	263.13253012048193	274.6820809248555	260.6622516556292	259.2
NM_001178185.1	575	570.1319444444445	573.1507537688442	580.0	588.5681818181818	566.3055555555555	567.2058823529411
NM_001178186.1	849	838.2	841.5	871.030042918455	840.122199592668	843.3333333333334	861.7408906882591
NM_001178187.1	410	403.40163934426226	406.53885135135135	402.35098335854764	399.5175097276265	402.3282571912013	400.2023653088042
NM_001178188.1	780	759.9477806788511	762.2222222222222	762.0967741935484	757.5849056603773	761.8153846153846	766.3917525773195
NM_001178189.1	165	166.27645788336935	168.59295499021528	164.40711462450594	163.44776119402985	166.99380325329204	159.94029850746267
NM_001178191.1	113	106.42657342657343	112.62345679012346	110.73255813953489	102.61176470588235	109.44594594594594	105.8111111111111
NM_001178192.2	617	640.1704545454545	643.176923076923	603.7818181818183	609.3211009174312	617.4536082474227	693.6981132075472
NM_001178193.1	657	645.66	675.2	641.7916666666667	650.9574468085107	655.6071428571429	653.0952380952381
NM_001178194.1	241	230.35384615384615	228.49668874172184	229.50205761316874	226.69574468085105	227.09302325581393	230.85106382978722
NM_001178195.2	1042	1039.5449735449736	1029.7011494252874	1056.175	1041.4697406340058	1024.6754098360655	1048.162962962963
NM_001178196.2	778	793.5454545454546	785.3296398891966	780.4561403508771	777.9861687413555	780.1640378548896	777.2596401028279
NM_001178199.2	875	907.7333333333333	880.5999999999999	877.1846153846155	870.0522388059702	857.7007874015748	867.3653846153846
NM_001178200.1	497	501.88549618320604	502.5625	518.5903614457832	489.125	490.01438848920867	496.358024691358
NM_001178201.2	207	195.83231707317074	195.230198019802	196.7654867256637	191.11330049261085	192.9186991869919	192.6315789473684
NM_001178202.2	377	384.34460887949257	369.461139896373	378.5797101449275	363.2868098159509	367.9070945945946	383.2262996941896
NM_001178203.1	412	395.6078431372549	411.5151515151515	424.9523809523809	392.67469879518075	418.7936507936507	410.49275362318843
NM_001178209.1	534	530.345744680851	527.0813397129186	540.8716707021791	529.6153846153846	523.8586956521739	523.2624113475177
NM_001178210.1	421	414.77611940298505	414.47798742138366	424.37931034482756	401.81212121212116	415.1633986928104	408.1830985915493
NM_001178211.1	616	606.5915492957746	606.2518518518518	615.6013289036545	600.6790123456791	607.1393298059965	607.813021702838
NM_001178212.1	270	258.05882352941177	271.05555555555554	268.3636363636364	277.88888888888886	276.40449438202245	246.0
NM_001178215.2	704	696.6259168704157	694.1132075471698	702.6666666666666	692.1035598705502	701.5873015873016	689.7607655502392
NM_001178216.1	301	299.3567393058919	295.1768901569187	302.7552182163188	290.3391393442623	290.7767195767196	303.6901041666667
NM_001178217.1	430	479.81818181818187	435.0	412.05970149253733	443.7	437.01388888888886	443.76744186046517
NM_001178218.2	969	973.2089552238807	973.6363636363636	945.0	952.875	968.3333333333333	960.75
NM_001178221.1	230	222.57471264367817	234.41379310344828	218.96503496503496	216.13114754098362	232.20175438596493	223.3109243697479
NM_001178222.1	229	223.63636363636363	247.20588235294116	227.16216216216216	220.99290780141848	228.76811594202897	230.1754385964912
NM_001178224.1	293	288.7794117647059	290.0980392156863	268.99999999999994	324.76829268292687	288.2142857142857	273.89090909090913
NM_001178225.1	229	224.06976744186048	218.411214953271	230.625	218.2258064516129	262.40000000000003	228.8372093023256
NM_001178227.1	1183	1195.5615141955836	1190.4945652173915	1195.7936507936506	1206.9840764331211	1191.9053627760254	1170.8871794871793
NM_001178239.1	462	460.43457382953176	459.2027290448343	460.1417780360256	452.5136094674556	461.8323529411765	449.60264900662247
NM_001178241.1	99	91.07142857142857	89.3649193548387	90.05016722408027	87.88121990369181	88.32417582417582	89.31095406360424
