Gene	R_GR_in_01d_1	R_GR_in_01d_2	R_GR_in_02d_1	R_GR_in_02d_2	R_GR_in_04d_1	R_GR_in_04d_2	R_GR_in_07d_1	R_GR_in_07d_2	R_GR_in_10d_1	R_GR_in_10d_3	R_GR_in_15d_1	R_GR_in_15d_2	R_GR_in_20d_1	R_GR_in_20d_3	R_GR_in_25d_1	R_GR_in_25d_2	R_GR_un_01d_2	R_GR_un_01d_3	R_GR_un_02d_1	R_GR_un_02d_2	R_GR_un_04d_2	R_GR_un_04d_3	R_GR_un_07d_1	R_GR_un_07d_3	R_GR_un_10d_1	R_GR_un_10d_3	R_GR_un_15d_1	R_GR_un_15d_3	R_GR_un_20d_1	R_GR_un_20d_3	R_GR_un_25d_1	R_GR_un_25d_2
GlmaCp005	50.3474715944008	47.6505599670141	13.5286686483834	11.6717874688889	44.6225872176069	32.9862099567745	43.4697654608564	53.865018789386	490.017658641609	295.790036297602	54.5334214042711	46.0012899528391	31.0847599602115	51.1451784303734	48.6925552064266	39.906777767136	38.7975476070158	45.2156381378201	17.4697070427183	20.9250289502531	87.8562098651766	31.3657910844584	21.2068215576817	56.7290747487909	31.2481120932277	24.1792499513288	26.8434356615043	18.0654058017051	59.9739740847344	59.7615896363535	23.5012415750266	30.5154495361652
GlmaCp009	121.42625502179	81.6866742291671	21.9257733266903	34.0816194091554	160.549308648915	114.773936013983	284.968462465614	163.858292451746	913.156266759954	750.851630601604	157.791970808808	136.087149443816	179.964399769646	190.509024417899	293.48029872717	317.591439730124	107.178225264381	156.112940096895	49.4975032877018	41.8500579005062	199.469456071447	93.6361116197802	125.43609346884	194.891821314394	98.3273927200232	74.2052843333885	74.0679983993359	58.2107520277163	50.210769001173	35.6376451959906	52.3235189783611	72.3652089000488
GlmaCp013	98.7205325380407	95.7873501377733	24.2583024039978	24.7441894340444	103.506001277954	64.1649563542737	158.950051483131	49.7911938389282	616.487658028551	768.023766235718	161.986849378367	204.769630970624	258.766993002112	238.136280522374	307.392457357578	333.221594355585	71.2904937278915	133.743098070815	33.4836051652101	35.667662983386	154.644859201459	59.9640123673469	87.5345400466009	155.089970482581	118.742825954265	147.576801427076	97.9288300984508	96.8506477702522	150.632307003519	91.5613345804682	125.044341965236	121.625863151287
GlmaCp018	20.7313118329885	11.183294686136	6.53108141646094	5.60245798506665	3.22018670642524	26.6600874993109	115.480286022275	76.4973796252624	110.607660480783	131.79614099182	21.6197587815749	31.6258868425769	4.90811999371761	31.6613009330883	15.5683679911704	19.6208324021752	13.0941723173678	14.7545766554992	5.8232356809061	7.60910143645568	60.9614517431838	16.6054188094191	16.6947318645579	38.4293732169228	29.9981876094986	43.3558964644517	14.9130198119468	18.0654058017051	5.57897433346366	0	4.87761617594892	0.435934993373788
GlmaCp026	192.99864111187	174.070412940725	85.8370700449152	94.3080427486219	202.411735832444	153.182536648583	288.481170785683	294.220690866394	1184.10216375164	1177.57920110932	209.743928477966	273.771565899883	444.457532764428	539.865772320608	512.099934347861	589.955197990827	146.460742216484	260.822838942373	105.303511896385	101.771731712595	215.158064975943	200.18754898022	129.496974192652	261.228239367416	156.657201960715	135.487176451412	117.81285651438	120.937855505859	130.640982308607	108.557749981633	263.391273501242	240.200181348957
GlmaCp029	100.694943188802	72.4483003580113	42.4520292069961	39.6840773942221	184.470695610932	146.856414191119	342.928149746756	247.145380327771	730.525013407964	919.99716659762	102.290500503869	139.920590273219	137.700033157077	162.906864630078	118.584590230617	176.587491619577	81.4748499747331	132.315235813832	64.5408621300426	61.3483803314239	211.123851257644	206.645211850549	89.3393759238504	194.891821314394	114.159769513925	110.057275640531	68.5998911349554	61.2216529946672	72.5266663350276	36.1859166605443	66.5129478538489	102.008788449466
GlmaCp047	283.327928384177	284.44466919085	123.157535281835	106.913573215022	301.317470386933	215.540029443581	498.804581449826	452.194569500812	2923.38618921884	2331.54671572173	371.085411922555	405.386367709395	491.902692703698	425.939210843427	530.318237316252	640.503783162532	249.274243375076	424.075090324187	149.463049143256	143.146220773323	475.588972790573	291.05609079843	188.605349172573	329.394627573624	144.157957123424	154.246939344684	135.708480288716	140.006894963214	104.140854224655	80.0476338248404	147.658744235545	144.294482806724
GlmaCp048	41.9562263286673	30.6325028359377	6.99758723192243	7.00307248133331	66.2438408178906	37.5048688549628	108.015780842128	131.267692848083	195.921321084178	250.713180258054	42.9168345962607	67.7241213194576	68.1683332460779	68.1935712404979	119.578315847075	121.050559226979	32.9779154659634	72.3450210205122	23.2929427236244	17.1204782320253	89.2009477712762	68.2667217720565	55.4987032254222	117.575582342252	36.2478100281441	32.5169223483388	29.8260396238936	17.5635889738799	12.5526922502932	1.0965429291074	33.2564739269244	66.6980539861896
GlmaCp055	26.654543785271	22.3665893722719	18.1937268029983	15.4067594589333	25.7614936514019	24.4007580502168	89.5740621617646	15.390005368396	601.48274284705	422.005233208335	33.2363455895853	36.0982344768807	39.5376332827252	54.1218819369031	29.8117684937306	34.918430546244	25.2184059445602	37.1244186815786	23.2929427236244	24.2540108287025	48.4105646195871	21.2180351453689	20.7556125883693	39.3443582935162	27.9149801366167	37.9364094063952	31.3173416050883	38.1380789147107	65.5529484181981	0	14.6328485278468	35.3107344632768
GlmaCp058	197.934667738772	161.428427643354	97.4997154314526	95.7086572448886	290.276830250618	169.90157457188	385.519738127595	463.963397135467	1303.284061479	1229.95421479337	209.421245511077	249.812560716112	260.403033000017	359.098686651352	324.617034709511	387.760857304005	137.731294004906	194.665221035457	101.906624415857	99.8694563534808	205.296653664545	231.553340064678	170.556990400078	294.625194663075	143.324674134271	106.722206681727	127.754869722344	152.552315658843	75.7810680295481	81.6924482185015	184.9059950337	205.761316872428
GlmaCp063	774.95618042362	669.052760353178	177.272209875368	197.019772474844	818.847476776704	500.667405919262	1261.50137544485	835.586762060559	6867.53532264212	6184.11534523505	715.710820560197	822.911964711899	538.802505976999	540.948209959346	395.502795350159	491.851035979951	620.275792367165	906.692533184709	304.264064327343	282.487890828417	1073.54909503621	1091.80628671931	338.857935953594	624.934807313293	504.552849931983	515.685037755065	276.387967181414	252.915681223871	251.983674061442	966.054320543622	255.853139411139	257.201646090535
GlmaCp073	74.0403994035305	79.7417534141869	35.9209477905352	43.4190493842665	115.006668086616	80.4321283877515	254.232264665008	192.37506710495	118.753185865027	121.063556220499	80.0253757885162	94.5582071252804	26.4493132994782	28.6845974265586	61.9422300925291	84.4693462737711	65.9558309319268	102.806082502833	40.2773801262672	40.8989202209493	190.504536697449	230.630816797488	110.997406450844	205.871642233515	60.8296582081499	84.6273748296509	109.36214528761	88.8215785250499	41.8423075009775	120.071450737261	52.3235189783611	73.2370788867964
GlmaCp074	8.39124526573346	0.972460407490085	0.933011630922991	1.86748599502222	3.22018670642524	4.51865889818829	14.9290103602941	10.8635332012207	56.1612539650488	28.7633271871398	6.45365933778356	4.15289423185353	2.18138666387449	5.41218819369031	5.96235369874612	8.64646851621279	3.39478541561388	4.28358677095138	1.94107856030203	1.42670651933544	5.37895162439857	11.9928024734694	9.02417938624751	16.0122388403845	4.99969793491643	5.00260343820597	1.98840264159291	7.02543558955197	3.25440169452047	0	6.65129478538489	3.4874799469903
