Gene	T_GR_in_01d_1	T_GR_in_01d_2	T_GR_in_02d_1	T_GR_in_02d_2	T_GR_in_04d_1	T_GR_in_04d_2	T_GR_in_07d_1	T_GR_in_07d_2	T_GR_in_10d_1	T_GR_in_10d_3	T_GR_in_15d_1	T_GR_in_15d_2	T_GR_in_20d_1	T_GR_in_20d_3	T_GR_in_25d_1	T_GR_in_25d_2	T_GR_un_01d_2	T_GR_un_01d_3	T_GR_un_02d_1	T_GR_un_02d_2	T_GR_un_04d_2	T_GR_un_04d_3	T_GR_un_07d_1	T_GR_un_07d_3	T_GR_un_10d_1	T_GR_un_10d_3	T_GR_un_15d_1	T_GR_un_15d_3	T_GR_un_20d_1	T_GR_un_20d_3	T_GR_un_25d_1	T_GR_un_25d_2
GlmaCp005	0.0970873786407767	0.141141141141141	0.0637254901960784	0.0544554455445545	0.224489795918367	0.23021582733813	0.0582655826558266	0.0740223463687151	0.516332982086407	0.363300492610837	0.0458793542905692	0.0422018348623853	0.0423497267759563	0.0813397129186603	0.0713224368499257	0.0686619718309859	0.0576631259484067	0.0980392156862745	0.080188679245283	0.0975609756097561	0.478021978021978	0.18452380952381	0.0432989690721649	0.100900900900901	0.137777777777778	0.136363636363636	0.0529531568228106	0.0323159784560144	0.123689727463312	0.190938511326861	0.0618279569892473	0.0623700623700624
GlmaCp009	0.345714285714286	0.262987012987013	0.0630630630630631	0.125925925925926	0.418848167539267	0.368932038834951	0.631111111111111	0.321499013806706	1.56872852233677	1.31810193321617	0.195516811955168	0.133726647000983	0.410550458715596	0.502645502645503	0.945161290322581	0.887955182072829	0.270886075949367	0.413793103448276	0.200819672131148	0.196172248803828	0.723636363636364	0.290625	0.279642058165548	0.394308943089431	0.313099041533546	0.222222222222222	0.122719734660033	0.100172711571675	0.113895216400911	0.103244837758112	0.213991769547325	0.214925373134328
GlmaCp013	0.310126582278481	0.369649805447471	0.48	0.263736263736264	0.887931034482759	0.432432432432432	1.54901960784314	0.295180722891566	2.27306273062731	2.74285714285714	1.12587412587413	1.67213114754098	0.720670391061452	0.767741935483871	0.638253638253638	0.783529411764706	0.16945107398568	0.354666666666667	0.540983606557377	0.507246376811594	1.05479452054795	0.541284403669725	0.608391608391608	1.61458333333333	0.517543859649123	0.875	1.24358974358974	0.842105263157895	0.669642857142857	0.382352941176471	0.48828125	0.478260869565217
GlmaCp026	0.103281334050565	0.0929983965793693	0.053125	0.0539300057372347	0.11503416856492	0.0933496034167175	0.170818505338078	0.156883671291355	0.371509256353938	0.344353423054418	0.0365448504983389	0.0481821390751853	0.162162162162162	0.190931633014524	0.193939393939394	0.197983193277311	0.0646589902568645	0.132382892057026	0.0654613466334165	0.0629675810473816	0.129830917874396	0.106326422115896	0.0709180868609126	0.144438295517432	0.0967141971481711	0.0731310942578548	0.0377663008392511	0.0380952380952381	0.0642927794263106	0.0506091846298032	0.151672433679354	0.113047574187471
GlmaCp029	0.22271714922049	0.219512195121951	0.289655172413793	0.272727272727273	0.51685393258427	0.555133079847909	1.51327433628319	0.961089494163424	1.58351409978308	2.33842239185751	0.389312977099237	0.584033613445378	0.367292225201072	0.549152542372881	0.379421221864952	0.635379061371841	0.146209386281588	0.260869565217391	0.653061224489796	0.484126984126984	0.967889908256881	0.847736625514403	0.298657718120805	0.595092024539877	0.3	0.383275261324042	0.425	0.484126984126984	0.305084745762712	0.171428571428571	0.232394366197183	0.343434343434343
GlmaCp047	0.0992982456140351	0.0969945355191257	0.0636316606311433	0.0587583148558758	0.131040487592512	0.0939685314685315	0.200402414486922	0.172256097560976	0.967880794701987	0.743066624163213	0.05337361530715	0.0601336302895323	0.212095032397408	0.199530516431925	0.112813963388676	0.13120131201312	0.0634071810542399	0.117451523545706	0.0822295805739514	0.0834305717619603	0.199412258606213	0.121604680317593	0.0725308641975309	0.129731861198738	0.0629095674967235	0.067455102934735	0.0446280991735537	0.047027208599261	0.0381231671554252	0.0289017341040462	0.0596590909090909	0.0576230492196879
GlmaCp058	0.174800354924579	0.160839160839161	0.141399416909621	0.145038167938931	0.312837108953614	0.263650546021841	0.386546184738956	0.4521484375	0.726715002788622	0.751222493887531	0.0705842620736238	0.0920177383592018	0.140086206896552	0.220380601596071	0.282229965156794	0.318780889621087	0.093899931459904	0.14619442351168	0.194980694980695	0.190019193857965	0.285515320334262	0.275656324582339	0.15962441314554	0.302780638516993	0.151483050847458	0.13965744400527	0.125246548323471	0.132983377077865	0.0747756729810568	0.082906857727738	0.23469387755102	0.220667384284177
GlmaCp063	0.0821307300509338	0.0610847333820307	0.034402332361516	0.0214737301068236	0.486904761904762	0.161446561188247	0.144543787253553	0.0745070045507272	1.09608938547486	0.526029261653624	0.0412293853073463	0.0487399940705603	0.0385829030407344	0.126227208976157	0.0659762819442125	0.0551995503091625	0.122845254606697	0.106600776561948	0.0417525065238291	0.037625083388926	0.117139737991266	0.231733220050977	0.0549504145667371	0.15487714072971	0.227129337539432	0.226373626373626	0.0826347305389222	0.180128663330951	0.12543728135932	8.11764705882353	3.35526315789474	0.0368353160384119
GlmaCp073	0.91358024691358	1.17910447761194	0.346534653465347	0.811320754716981	0.884615384615385	0.720720720720721	4.98039215686275	2.23255813953488	1.2967032967033	1.83333333333333	1.42857142857143	2.54054054054054	0.226086956521739	0.245614035087719	0.734939759036145	1.23529411764706	0.32994923857868	0.633540372670807	0.930232558139535	1.53846153846154	2.26190476190476	2.23300970873786	0.859375	2.00980392156863	0.315789473684211	0.646153846153846	1.94642857142857	1.17333333333333	0.488095238095238	0.952380952380952	0.742857142857143	0.646017699115044
I638_mgp001	0.116504854368932	0.0803571428571429	0.3125	0.170731707317073	0.260869565217391	0.144578313253012	0.291666666666667	0.0813953488372093	0.914634146341463	0.44	0.117647058823529	0.0707070707070707	0.0264150943396226	0.0549019607843137	0.143712574850299	0.177514792899408	0.0571428571428571	0.117647058823529	0.1	0.13953488372093	0.162162162162162	0.225806451612903	0.226415094339623	0.166666666666667	0.0723684210526316	0.164179104477612	0.321428571428571	0.164556962025316	0.149122807017544	0.00766283524904215	0.240740740740741	0.00833333333333333
I638_mgp038	0.00388780894196057	0.0031013094417643	0.0027378507871321	0.00445009535918627	0.00557724484104852	0.00385208012326656	0.00219699743683632	0.0025353132922854	0.0342741935483871	0.040644452581472	0.00211375864719447	0.00259118995415587	0.00227272727272727	0.00290178571428571	0.00485298315729375	0.00374732334047109	0.00323188796121734	0.00527395253442719	0.00577293136626042	0.0053085600530856	0.01161995898838	0.00666222518321119	0.00364815565464126	0.00152439024390244	0.00636604774535809	0.00609080841638981	0.00103698582786035	0	0	0.0079968012794882	0	0.00384467512495194
I638_mgp046	0.0166666666666667	0.023598820058997	0.0303951367781155	0.0153452685421995	0.0233722871452421	0.0327552986512524	0.0348484848484849	0	0.167023554603854	0.162	0.0208062418725618	0.0150684931506849	0.0400890868596882	0.0256410256410256	0.0275157232704403	0.0358974358974359	0.0121951219512195	0.0317460317460317	0.0341614906832298	0.0104895104895105	0.0349075975359343	0.0534188034188034	0.0171232876712329	0.0188383045525903	0.0126262626262626	0.0100783874580067	0.0108108108108108	0.0130869899923018	0.0358126721763085	0	0.00162866449511401	0.00833333333333333
I638_mgp052	0.0694996028594122	0.0442136016880377	0.0365515226758198	0.0341095075137628	0.0881758123230417	0.0567863151991026	0.0361790733992712	0.0467410765304179	0.405706399640542	0.358015513897867	0.042806137218952	0.0430480523173159	0.0431389279261193	0.0448108222363137	0.0373700336531217	0.0458389314787007	0.0465255100249307	0.0800220941070874	0.057877926362711	0.0398339357932787	0.117594374046308	0.100723645609231	0.0448608519591885	0.0463082655311383	0.0681922950279881	0.0709555647973384	0.0196042361968833	0.0185112557847674	0.0123293856145591	0.0335846470185058	0.0175650898423176	0.0184524453094028
I638_mgp053	0.0383529802424041	0.0209116157490606	0.03300803673938	0.0310818888224746	0.0766974960523348	0.0473725084131504	0.0568769389865564	0.047757341077767	0.199832073887489	0.245071193866375	0.0666052793124616	0.0852685050798258	0.0200807265388496	0.024199843871975	0.0240414833438089	0.0249483553154298	0.0227644939403865	0.0414431984397855	0.0568842921784098	0.0475594493116396	0.100391772771792	0.0809012875536481	0.0464095327688931	0.0550492161866569	0.0358824484494236	0.0521966072205307	0.028719723183391	0.0290843806104129	0.0150130548302872	0.000604686318972033	0.0135160155526754	0.0112616575752244
I638_mgp075	0.03584229390681	0.0381679389312977	0.0973451327433628	0.0478723404255319	0.0915750915750916	0.0813953488372093	0.159509202453988	0.237179487179487	0.539961013645224	0.44106463878327	0.264705882352941	0.254054054054054	0.0418814432989691	0.0583819849874896	0.275974025974026	0.250704225352113	0.0154494382022472	0.0474576271186441	0.0725806451612903	0.0909090909090909	0.153153153153153	0.18974358974359	0.0829268292682927	0.121428571428571	0.0940695296523517	0.27807486631016	0.327433628318584	0.255474452554745	0.116666666666667	0.0890151515151515	0.11731843575419	0.136363636363636
