name	from_tis	region	wt_mock_1	wt_mock_2	ssb1_wt_flag_1	ssb1_wt_flag_2	enrich	collision	peak
YMR290C_mRNA	-10	5utr	0	0	0	0	0.0		
YMR290C_mRNA	-9	5utr	0	0	0	0	0.0		
YMR290C_mRNA	-8	5utr	0	0	0	0	0.0		
YMR290C_mRNA	-7	5utr	0	0	0	0	0.0		
YMR290C_mRNA	-6	5utr	0	0	0	0	0.0		
YMR290C_mRNA	-5	5utr	0	2	0	0	0.0		
YMR290C_mRNA	-4	5utr	0	0	0	0	0.014730244663527086		
YMR290C_mRNA	-3	5utr	0	0	0	1	0.11953322496990867		
YMR290C_mRNA	-2	5utr	6	6	2	2	0.18480431565714528		
YMR290C_mRNA	-1	5utr	12	24	2	7	0.1907427992286116		
YMR290C_mRNA	0	cds	13	19	0	3	0.5343988347694497		
YMR290C_mRNA	1	cds	2	10	5	9	0.5672221463008096		
YMR290C_mRNA	2	cds	4	18	2	4	0.6662923849210949		
YMR290C_mRNA	3	cds	6	21	2	9	0.3682209183953546		
YMR290C_mRNA	4	cds	0	0	3	5	0.3261505097125882		
YMR290C_mRNA	5	cds	3	9	1	1	0.4659441236595841		
YMR290C_mRNA	6	cds	3	4	3	3	1.3736787883591557		
YMR290C_mRNA	7	cds	1	1	3	4	1.346369031754685		
YMR290C_mRNA	8	cds	0	9	1	0	1.216043167327236		
YMR290C_mRNA	9	cds	3	14	2	4	0.2145755789074239		
YMR290C_mRNA	10	cds	10	36	4	3	0.3354376007264767		
YMR290C_mRNA	11	cds	1	2	0	2	0.2665092288819055		
YMR290C_mRNA	12	cds	10	22	2	5	0.3698216513205541		
YMR290C_mRNA	13	cds	4	5	2	3	0.2894049845840088		
YMR290C_mRNA	14	cds	3	14	0	4	0.3278810580031466		
YMR290C_mRNA	15	cds	7	30	4	6	0.21079730619484288		
YMR290C_mRNA	16	cds	47	72	7	11	0.15577794006056583		
YMR290C_mRNA	17	cds	24	58	0	5	0.14604575810787254		
YMR290C_mRNA	18	cds	6	15	0	8	0.26154237288915577		
YMR290C_mRNA	19	cds	2	13	1	5	0.32664663881681755		
YMR290C_mRNA	20	cds	5	9	0	5	0.38714900801352137		
YMR290C_mRNA	21	cds	7	11	3	7	0.2835035954316554		
YMR290C_mRNA	22	cds	2	8	0	2	0.33779245761945187		
YMR290C_mRNA	23	cds	2	5	0	4	0.5425003318618659		
YMR290C_mRNA	24	cds	2	4	2	6	0.5573583157818653		
YMR290C_mRNA	25	cds	6	9	1	3	0.546663045944956		
YMR290C_mRNA	26	cds	1	3	0	2	0.29258058200542564		
YMR290C_mRNA	27	cds	2	5	0	3	0.393837938411325		
YMR290C_mRNA	28	cds	2	10	1	5	0.3638618883626895		
YMR290C_mRNA	29	cds	9	16	2	7	0.3559496943861719		
YMR290C_mRNA	30	cds	7	26	2	8	0.2921331174262315		
YMR290C_mRNA	31	cds	8	23	5	5	0.25961707944572743		
YMR290C_mRNA	32	cds	9	19	2	4	0.2931227704796126		
YMR290C_mRNA	33	cds	4	13	2	5	0.5307756824735026		
YMR290C_mRNA	34	cds	1	1	0	3	0.5452178157197093		
YMR290C_mRNA	35	cds	3	6	0	3	0.572663806960455		
YMR290C_mRNA	36	cds	0	5	2	3	0.9915225539762305		
YMR290C_mRNA	37	cds	1	2	3	5	1.1097891960359951		
YMR290C_mRNA	38	cds	6	4	2	4	0.9759455143208104		
YMR290C_mRNA	39	cds	7	17	0	2	0.24793025341964436		
YMR290C_mRNA	40	cds	11	14	0	4	0.11722637555061476		
YMR290C_mRNA	41	cds	5	18	2	2	0.1825710240161079		
YMR290C_mRNA	42	cds	5	20	1	6	0.2351236408218237		
YMR290C_mRNA	43	cds	4	12	1	4	0.36230110804320237		
YMR290C_mRNA	44	cds	1	5	1	2	0.31031042761804484		
YMR290C_mRNA	45	cds	5	16	1	1	0.408768838658193		
YMR290C_mRNA	46	cds	6	3	1	4	0.25773386138313037		
YMR290C_mRNA	47	cds	7	15	1	2	0.34938163208966583		
YMR290C_mRNA	48	cds	2	9	1	3	0.26866784290619655		
YMR290C_mRNA	49	cds	4	21	2	5	0.29756700539000164		
YMR290C_mRNA	50	cds	5	11	1	3	0.43769109457794486		
YMR290C_mRNA	51	cds	2	3	0	6	0.35923144522559164		
YMR290C_mRNA	52	cds	2	8	0	1	0.31338132100422084		
YMR290C_mRNA	53	cds	18	52	3	1	0.16585005011068685		
YMR290C_mRNA	54	cds	6	10	2	5	0.16189865637098538		
YMR290C_mRNA	55	cds	8	19	1	1	0.27611615340831436		
YMR290C_mRNA	56	cds	0	5	1	4	0.20890240105601623		
YMR290C_mRNA	57	cds	6	17	1	3	0.29213948410863844		
YMR290C_mRNA	58	cds	1	3	1	0	0.3488555326611637		
YMR290C_mRNA	59	cds	6	10	4	7	0.8567348113674172		
YMR290C_mRNA	60	cds	0	2	5	3	0.8248994539598189		
YMR290C_mRNA	61	cds	8	8	3	0	0.7173913095101254		
YMR290C_mRNA	62	cds	4	18	2	3	0.24762308982305994		
YMR290C_mRNA	63	cds	0	1	0	1	0.2543051889399603		
YMR290C_mRNA	64	cds	0	10	3	0	0.20115575208758038		
YMR290C_mRNA	65	cds	7	6	1	0	0.21826493360698884		
YMR290C_mRNA	66	cds	4	24	1	7	0.21986044319625442		
YMR290C_mRNA	67	cds	11	32	5	6	0.6445560073132224		
YMR290C_mRNA	68	cds	1	5	0	9	1.1709162425986621		
YMR290C_mRNA	69	cds	1	7	5	5	1.4523332009852048		
YMR290C_mRNA	70	cds	2	1	1	2	1.1249527352312758		
YMR290C_mRNA	71	cds	9	24	4	11	1.007568123213716		
YMR290C_mRNA	72	cds	1	1	2	1	0.9200116997706056		
YMR290C_mRNA	73	cds	6	35	14	10	0.9542159797761376		
YMR290C_mRNA	74	cds	9	5	3	3	0.5320683021405505		
YMR290C_mRNA	75	cds	6	2	0	2	0.5625544308268754		
YMR290C_mRNA	76	cds	2	5	3	4	0.9482512827969457		
YMR290C_mRNA	77	cds	2	4	5	6	1.1381689449296735		
YMR290C_mRNA	78	cds	0	6	6	3	1.0727773768459348		
YMR290C_mRNA	79	cds	4	8	4	6	0.7225242620918466		
YMR290C_mRNA	80	cds	2	6	2	3	1.1846685403864432		
YMR290C_mRNA	81	cds	1	2	4	3	1.0259907256939713		
YMR290C_mRNA	82	cds	11	16	3	5	1.3545991585630266		
YMR290C_mRNA	83	cds	3	6	7	9	0.6515934745526888		
YMR290C_mRNA	84	cds	11	16	0	5	0.8163557242129003		
YMR290C_mRNA	85	cds	18	9	8	9	0.4342298159585438		
YMR290C_mRNA	86	cds	5	11	3	5	1.0168885175195617		
YMR290C_mRNA	87	cds	1	8	4	7	1.1057733375814847		
YMR290C_mRNA	88	cds	3	5	3	7	1.0822107796805003		
YMR290C_mRNA	89	cds	7	16	3	7	0.6589267549281037		
YMR290C_mRNA	90	cds	4	7	4	3	0.4425274449070925		
YMR290C_mRNA	91	cds	6	9	3	3	0.8825949220460496		
YMR290C_mRNA	92	cds	5	3	5	8	1.8552465380587893		
YMR290C_mRNA	93	cds	1	2	5	7	3.005168586244505		
YMR290C_mRNA	94	cds	1	8	6	18	2.508333686399906		
YMR290C_mRNA	95	cds	2	4	1	0	1.7342996423355423		
YMR290C_mRNA	96	cds	4	9	5	14	0.8745603126988234		
YMR290C_mRNA	97	cds	2	13	2	14	1.5067495676083311		
YMR290C_mRNA	98	cds	1	0	5	8	2.084436952188712		
YMR290C_mRNA	99	cds	0	3	6	18	2.0365083205238643		
YMR290C_mRNA	100	cds	6	13	10	13	1.811388833167039		
YMR290C_mRNA	101	cds	0	3	1	12	1.3978855116497908	1.3978855116497908	
YMR290C_mRNA	102	cds	1	0	2	10	1.5314913894399487	1.5314913894399487	
YMR290C_mRNA	103	cds	2	11	7	8	3.006495687490446	3.006495687490446	
YMR290C_mRNA	104	cds	1	1	4	10	2.9334979233231	2.9334979233231	
YMR290C_mRNA	105	cds	5	4	7	6	2.7947310137150767	2.7947310137150767	
YMR290C_mRNA	106	cds	9	18	15	17	1.7883039414277149	1.7883039414277149	
YMR290C_mRNA	107	cds	4	12	18	30	1.8159153063576312	1.8159153063576312	
YMR290C_mRNA	108	cds	9	15	18	25	1.864656752294703	1.864656752294703	
YMR290C_mRNA	109	cds	12	31	22	36	1.8641958348280867	1.8641958348280867	
YMR290C_mRNA	110	cds	7	14	19	55	2.1480297423081294	2.1480297423081294	2.1480297423081294
YMR290C_mRNA	111	cds	4	6	10	19	2.5823038767689503		2.5823038767689503
YMR290C_mRNA	112	cds	9	21	32	54	2.7434220050207365		2.7434220050207365
YMR290C_mRNA	113	cds	6	25	36	60	4.123856859950568		4.123856859950568
YMR290C_mRNA	114	cds	10	28	127	124	5.176948288456591		5.176948288456591
YMR290C_mRNA	115	cds	4	23	54	62	5.417260596861207		5.417260596861207
YMR290C_mRNA	116	cds	6	10	22	59	4.1324331940665555		4.1324331940665555
YMR290C_mRNA	117	cds	2	13	7	26	6.770776525103558		6.770776525103558
YMR290C_mRNA	118	cds	3	14	83	118	6.772198401263156		6.772198401263156
YMR290C_mRNA	119	cds	11	23	56	105	6.854838947365279		6.854838947365279
YMR290C_mRNA	120	cds	18	56	81	151	4.739001640868793		4.739001640868793
YMR290C_mRNA	121	cds	2	11	30	46	3.8624396553877447		3.8624396553877447
YMR290C_mRNA	122	cds	13	20	12	49	3.52659142975166		3.52659142975166
YMR290C_mRNA	123	cds	15	20	31	48	11.84287341542832		11.84287341542832
YMR290C_mRNA	124	cds	1	1	25	50	12.866158743514713		12.866158743514713
YMR290C_mRNA	125	cds	4	8	24	38	13.942710383444869		13.942710383444869
YMR290C_mRNA	126	cds	4	20	43	61	6.568843654158664		6.568843654158664
YMR290C_mRNA	127	cds	2	2	21	22	6.876802571553582		6.876802571553582
YMR290C_mRNA	128	cds	6	10	37	66	8.400518785691332		8.400518785691332
YMR290C_mRNA	129	cds	0	3	25	51	7.475130322527775		7.475130322527775
YMR290C_mRNA	130	cds	6	9	47	84	6.590340577561385		6.590340577561385
YMR290C_mRNA	131	cds	9	22	39	54	4.140709153670968		4.140709153670968
YMR290C_mRNA	132	cds	0	10	16	23	2.510881621503587		2.510881621503587
YMR290C_mRNA	133	cds	9	16	28	42	2.4380542663889093		2.4380542663889093
YMR290C_mRNA	134	cds	5	3	4	18	2.331360098432855		2.331360098432855
YMR290C_mRNA	135	cds	8	20	25	39	3.0892329201692137		3.0892329201692137
YMR290C_mRNA	136	cds	1	0	10	20	3.0599564744125343		3.0599564744125343
YMR290C_mRNA	137	cds	4	15	12	37	3.2394946959247157		3.2394946959247157
YMR290C_mRNA	138	cds	3	9	10	25	3.368100466312711		3.368100466312711
YMR290C_mRNA	139	cds	5	11	35	58	3.0551077191941465		3.0551077191941465
YMR290C_mRNA	140	cds	23	43	51	59	8.210065070323408		8.210065070323408
YMR290C_mRNA	141	cds	2	2	31	51	8.804504862008706		8.804504862008706
YMR290C_mRNA	142	cds	3	1	8	11	9.003784962802763		9.003784962802763
YMR290C_mRNA	143	cds	4	7	9	19	4.833252535808598		4.833252535808598
YMR290C_mRNA	144	cds	2	4	17	20	2.8321624526066542		2.8321624526066542
YMR290C_mRNA	145	cds	6	23	13	8	2.3755785657212423	2.3755785657212423	2.3755785657212423
YMR290C_mRNA	146	cds	4	7	4	5	0.8563650321748721		
YMR290C_mRNA	147	cds	11	11	12	11	2.0424544892792103	2.0424544892792103	2.0424544892792103
YMR290C_mRNA	148	cds	2	10	23	18	2.5502062201372153		2.5502062201372153
YMR290C_mRNA	149	cds	9	18	34	31	4.60343831132723		4.60343831132723
YMR290C_mRNA	150	cds	3	4	21	39	3.4956989419981968		3.4956989419981968
YMR290C_mRNA	151	cds	13	62	33	34	3.717173571841281		3.717173571841281
YMR290C_mRNA	152	cds	3	10	17	20	2.443203222911731		2.443203222911731
YMR290C_mRNA	153	cds	2	10	12	23	3.089116730949284		3.089116730949284
YMR290C_mRNA	154	cds	2	4	4	20	2.5055566209213525		2.5055566209213525
YMR290C_mRNA	155	cds	8	14	10	21	1.9641265269074413		1.9641265269074413
YMR290C_mRNA	156	cds	4	22	14	22	1.3956974794719073		1.3956974794719073
YMR290C_mRNA	157	cds	0	1	0	5	1.3405438756716985		1.3405438756716985
YMR290C_mRNA	158	cds	4	26	7	16	2.0519863435109813		2.0519863435109813
YMR290C_mRNA	159	cds	1	4	6	13	3.0783376694676834		3.0783376694676834
YMR290C_mRNA	160	cds	3	2	10	11	3.63660432383518		3.63660432383518
YMR290C_mRNA	161	cds	4	9	13	28	3.335078731597774		3.335078731597774
YMR290C_mRNA	162	cds	2	5	10	12	4.122550773602582		4.122550773602582
YMR290C_mRNA	163	cds	1	12	21	18	4.069870037952027		4.069870037952027
YMR290C_mRNA	164	cds	5	9	16	25	3.411524979550614		3.411524979550614
YMR290C_mRNA	165	cds	5	14	6	15	1.7999168489440969		1.7999168489440969
YMR290C_mRNA	166	cds	3	12	7	23	3.3769747477083456		3.3769747477083456
YMR290C_mRNA	167	cds	1	7	14	28	3.889596956498118		3.889596956498118
YMR290C_mRNA	168	cds	5	6	11	22	3.7351863642213354		3.7351863642213354
YMR290C_mRNA	169	cds	11	40	25	51	2.0168295519432977		2.0168295519432977
YMR290C_mRNA	170	cds	10	26	30	54	1.8332015626049105		1.8332015626049105
YMR290C_mRNA	171	cds	9	17	23	36	2.085852657162461		2.085852657162461
YMR290C_mRNA	172	cds	2	7	5	17	2.014269273903913		2.014269273903913
YMR290C_mRNA	173	cds	2	5	5	10	1.9358009568507755		1.9358009568507755
YMR290C_mRNA	174	cds	4	2	1	10	2.595816299085739		2.595816299085739
YMR290C_mRNA	175	cds	3	8	12	44	2.41444064489737		2.41444064489737
YMR290C_mRNA	176	cds	4	9	7	13	2.8208253266254664		2.8208253266254664
YMR290C_mRNA	177	cds	4	7	9	33	1.6240072603033835		1.6240072603033835
YMR290C_mRNA	178	cds	13	14	7	12	3.437584614291021		3.437584614291021
YMR290C_mRNA	179	cds	0	1	5	17	2.8389301260731408		2.8389301260731408
YMR290C_mRNA	180	cds	5	10	6	15	3.3778988242854764	3.3778988242854764	3.3778988242854764
YMR290C_mRNA	181	cds	3	13	12	21	1.271160345753486	1.271160345753486	
YMR290C_mRNA	182	cds	9	15	3	11	1.4771598465935003	1.4771598465935003	
YMR290C_mRNA	183	cds	3	8	7	15	1.3867124306394154	1.3867124306394154	
YMR290C_mRNA	184	cds	2	4	6	7	1.684062038811294	1.684062038811294	
YMR290C_mRNA	185	cds	5	16	10	20	1.7639439957682557	1.7639439957682557	
YMR290C_mRNA	186	cds	4	14	18	15	1.7625638035987392	1.7625638035987392	
YMR290C_mRNA	187	cds	2	10	9	10	1.4827829187144563	1.4827829187144563	
YMR290C_mRNA	188	cds	0	7	1	7	1.11595287504317	1.11595287504317	
YMR290C_mRNA	189	cds	0	7	5	7	0.788704667517566		
YMR290C_mRNA	190	cds	5	11	5	14	0.8698456097303535		
YMR290C_mRNA	191	cds	0	5	2	7	1.168878933559054	1.168878933559054	
YMR290C_mRNA	192	cds	4	5	3	19	1.2005189476320441	1.2005189476320441	
YMR290C_mRNA	193	cds	6	8	6	12	3.0448459121675318	3.0448459121675318	3.0448459121675318
YMR290C_mRNA	194	cds	1	1	3	13	3.41246038025614		3.41246038025614
YMR290C_mRNA	195	cds	3	19	22	23	3.9164177099587967		3.9164177099587967
YMR290C_mRNA	196	cds	9	6	12	29	3.3314523020945206		3.3314523020945206
YMR290C_mRNA	197	cds	1	9	13	12	3.3881187933513406		3.3881187933513406
YMR290C_mRNA	198	cds	1	4	5	10	3.4133384260401174		3.4133384260401174
YMR290C_mRNA	199	cds	1	5	6	7	2.572470409325852	2.572470409325852	2.572470409325852
YMR290C_mRNA	200	cds	1	0	4	9	1.766173958982413	1.766173958982413	
YMR290C_mRNA	201	cds	0	0	5	6	1.4349419664437768	1.4349419664437768	
YMR290C_mRNA	202	cds	6	12	14	20	1.2486893184046615	1.2486893184046615	
YMR290C_mRNA	203	cds	4	18	13	14	1.931430701320659	1.931430701320659	
YMR290C_mRNA	204	cds	1	11	6	11	2.155589031344568	2.155589031344568	
YMR290C_mRNA	205	cds	4	7	13	16	1.9293566910435596	1.9293566910435596	
YMR290C_mRNA	206	cds	8	16	7	15	1.9602690376956167	1.9602690376956167	
YMR290C_mRNA	207	cds	1	11	7	10	3.118664258726335	3.118664258726335	
YMR290C_mRNA	208	cds	1	10	14	21	3.259536477790198	3.259536477790198	
YMR290C_mRNA	209	cds	8	13	13	15	3.0714069408917983		
YMR290C_mRNA	210	cds	2	6	7	12	1.3693978608669166		
YMR290C_mRNA	211	cds	7	10	4	11	1.0578211720545652		
YMR290C_mRNA	212	cds	14	31	6	6	0.5272472445628167		
YMR290C_mRNA	213	cds	3	6	2	5	1.5463678999481483		
YMR290C_mRNA	214	cds	1	5	5	16	2.2101916000991455		
YMR290C_mRNA	215	cds	5	13	19	24	2.4023019155701624		
YMR290C_mRNA	216	cds	2	13	7	5	1.3378293342267797		
YMR290C_mRNA	217	cds	12	21	4	21	0.7854291575293804		
YMR290C_mRNA	218	cds	5	4	3	2	0.6606500051044323		
YMR290C_mRNA	219	cds	15	18	7	29	0.9378644670055574		
YMR290C_mRNA	220	cds	0	2	1	8	1.202454285113125		
YMR290C_mRNA	221	cds	3	6	6	8	1.2150397431965594		
YMR290C_mRNA	222	cds	0	3	2	5	1.163822186712186		
YMR290C_mRNA	223	cds	3	8	7	7	1.0663176069438784		
YMR290C_mRNA	224	cds	2	11	5	6	1.8165534697229742		
YMR290C_mRNA	225	cds	3	2	7	8	1.7081790446639304		
YMR290C_mRNA	226	cds	3	13	3	12	1.6218886815226394		
YMR290C_mRNA	227	cds	9	19	11	15	1.119378813870405		
YMR290C_mRNA	228	cds	0	3	5	7	1.4864088481372697		
YMR290C_mRNA	229	cds	2	18	12	10	1.5518577887147638		
